"region","occupation (SSYK 2012)","age","sex","2017"
"SE01 Stockholm","222 Nursing professionals","55-59 years","men",173
"SE01 Stockholm","222 Nursing professionals","55-59 years","women",1866
"SE01 Stockholm","222 Nursing professionals","60-64 years","men",154
"SE01 Stockholm","222 Nursing professionals","60-64 years","women",1690
"SE01 Stockholm","223 Nursing professionals (cont.)","16-24 years","men",5
"SE01 Stockholm","223 Nursing professionals (cont.)","16-24 years","women",18
"SE01 Stockholm","223 Nursing professionals (cont.)","25-29 years","men",20
"SE01 Stockholm","223 Nursing professionals (cont.)","25-29 years","women",151
"SE01 Stockholm","223 Nursing professionals (cont.)","30-34 years","men",44
"SE01 Stockholm","223 Nursing professionals (cont.)","30-34 years","women",297
"SE01 Stockholm","223 Nursing professionals (cont.)","35-39 years","men",25
"SE01 Stockholm","223 Nursing professionals (cont.)","35-39 years","women",375
"SE01 Stockholm","223 Nursing professionals (cont.)","40-44 years","men",32
"SE01 Stockholm","223 Nursing professionals (cont.)","40-44 years","women",502
"SE01 Stockholm","223 Nursing professionals (cont.)","45-49 years","men",32
"SE01 Stockholm","223 Nursing professionals (cont.)","45-49 years","women",566
"SE01 Stockholm","223 Nursing professionals (cont.)","50-54 years","men",48
"SE01 Stockholm","223 Nursing professionals (cont.)","50-54 years","women",624
"SE01 Stockholm","223 Nursing professionals (cont.)","55-59 years","men",39
"SE01 Stockholm","223 Nursing professionals (cont.)","55-59 years","women",490
"SE01 Stockholm","223 Nursing professionals (cont.)","60-64 years","men",18
"SE01 Stockholm","223 Nursing professionals (cont.)","60-64 years","women",528
"SE01 Stockholm","224 Psychologists and psychotherapists","16-24 years","men",1
"SE01 Stockholm","224 Psychologists and psychotherapists","16-24 years","women",3
"SE01 Stockholm","224 Psychologists and psychotherapists","25-29 years","men",36
"SE01 Stockholm","224 Psychologists and psychotherapists","25-29 years","women",195
"SE01 Stockholm","224 Psychologists and psychotherapists","30-34 years","men",122
"SE01 Stockholm","224 Psychologists and psychotherapists","30-34 years","women",367
"SE01 Stockholm","224 Psychologists and psychotherapists","35-39 years","men",115
"SE01 Stockholm","224 Psychologists and psychotherapists","35-39 years","women",309
"SE01 Stockholm","224 Psychologists and psychotherapists","40-44 years","men",94
"SE01 Stockholm","224 Psychologists and psychotherapists","40-44 years","women",271
"SE01 Stockholm","224 Psychologists and psychotherapists","45-49 years","men",75
"SE01 Stockholm","224 Psychologists and psychotherapists","45-49 years","women",185
"SE01 Stockholm","224 Psychologists and psychotherapists","50-54 years","men",88
"SE01 Stockholm","224 Psychologists and psychotherapists","50-54 years","women",228
"SE01 Stockholm","224 Psychologists and psychotherapists","55-59 years","men",59
"SE01 Stockholm","224 Psychologists and psychotherapists","55-59 years","women",167
"SE01 Stockholm","224 Psychologists and psychotherapists","60-64 years","men",74
"SE01 Stockholm","224 Psychologists and psychotherapists","60-64 years","women",185
"SE01 Stockholm","225 Veterinarians","16-24 years","men",0
"SE01 Stockholm","225 Veterinarians","16-24 years","women",0
"SE01 Stockholm","225 Veterinarians","25-29 years","men",2
"SE01 Stockholm","225 Veterinarians","25-29 years","women",39
"SE01 Stockholm","225 Veterinarians","30-34 years","men",13
"SE01 Stockholm","225 Veterinarians","30-34 years","women",75
"SE01 Stockholm","225 Veterinarians","35-39 years","men",5
"SE01 Stockholm","225 Veterinarians","35-39 years","women",74
"SE01 Stockholm","225 Veterinarians","40-44 years","men",16
"SE01 Stockholm","225 Veterinarians","40-44 years","women",55
"SE01 Stockholm","225 Veterinarians","45-49 years","men",9
"SE01 Stockholm","225 Veterinarians","45-49 years","women",33
"SE01 Stockholm","225 Veterinarians","50-54 years","men",8
"SE01 Stockholm","225 Veterinarians","50-54 years","women",20
"SE01 Stockholm","225 Veterinarians","55-59 years","men",9
"SE01 Stockholm","225 Veterinarians","55-59 years","women",22
"SE01 Stockholm","225 Veterinarians","60-64 years","men",7
"SE01 Stockholm","225 Veterinarians","60-64 years","women",12
"SE01 Stockholm","226 Dentists","16-24 years","men",2
"SE01 Stockholm","226 Dentists","16-24 years","women",4
"SE01 Stockholm","226 Dentists","25-29 years","men",60
"SE01 Stockholm","226 Dentists","25-29 years","women",102
"SE01 Stockholm","226 Dentists","30-34 years","men",72
"SE01 Stockholm","226 Dentists","30-34 years","women",156
"SE01 Stockholm","226 Dentists","35-39 years","men",81
"SE01 Stockholm","226 Dentists","35-39 years","women",158
"SE01 Stockholm","226 Dentists","40-44 years","men",61
"SE01 Stockholm","226 Dentists","40-44 years","women",102
"SE01 Stockholm","226 Dentists","45-49 years","men",58
"SE01 Stockholm","226 Dentists","45-49 years","women",116
"SE01 Stockholm","226 Dentists","50-54 years","men",55
"SE01 Stockholm","226 Dentists","50-54 years","women",88
"SE01 Stockholm","226 Dentists","55-59 years","men",57
"SE01 Stockholm","226 Dentists","55-59 years","women",90
"SE01 Stockholm","226 Dentists","60-64 years","men",100
"SE01 Stockholm","226 Dentists","60-64 years","women",120
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","16-24 years","men",25
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","16-24 years","women",71
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","25-29 years","men",136
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","25-29 years","women",443
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","30-34 years","men",137
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","30-34 years","women",454
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","35-39 years","men",110
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","35-39 years","women",339
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","40-44 years","men",80
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","40-44 years","women",448
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","45-49 years","men",82
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","45-49 years","women",362
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","50-54 years","men",69
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","50-54 years","women",431
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","55-59 years","men",53
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","55-59 years","women",368
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","60-64 years","men",32
"SE01 Stockholm","227 Naprapaths, physiotherapists, occupational therapists","60-64 years","women",309
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","16-24 years","men",9
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","16-24 years","women",36
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","25-29 years","men",63
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","25-29 years","women",361
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","30-34 years","men",59
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","30-34 years","women",447
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","35-39 years","men",64
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","35-39 years","women",285
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","40-44 years","men",48
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","40-44 years","women",268
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","45-49 years","men",56
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","45-49 years","women",258
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","50-54 years","men",57
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","50-54 years","women",262
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","55-59 years","men",28
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","55-59 years","women",194
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","60-64 years","men",39
"SE01 Stockholm","228 Specialists in health care not elsewhere classified","60-64 years","women",142
"SE01 Stockholm","231 University and higher education teachers","16-24 years","men",68
"SE01 Stockholm","231 University and higher education teachers","16-24 years","women",44
"SE01 Stockholm","231 University and higher education teachers","25-29 years","men",826
"SE01 Stockholm","231 University and higher education teachers","25-29 years","women",618
"SE01 Stockholm","231 University and higher education teachers","30-34 years","men",1035
"SE01 Stockholm","231 University and higher education teachers","30-34 years","women",939
"SE01 Stockholm","231 University and higher education teachers","35-39 years","men",704
"SE01 Stockholm","231 University and higher education teachers","35-39 years","women",662
"SE01 Stockholm","231 University and higher education teachers","40-44 years","men",483
"SE01 Stockholm","231 University and higher education teachers","40-44 years","women",467
"SE01 Stockholm","231 University and higher education teachers","45-49 years","men",456
"SE01 Stockholm","231 University and higher education teachers","45-49 years","women",420
"SE01 Stockholm","231 University and higher education teachers","50-54 years","men",462
"SE01 Stockholm","231 University and higher education teachers","50-54 years","women",380
"SE01 Stockholm","231 University and higher education teachers","55-59 years","men",405
"SE01 Stockholm","231 University and higher education teachers","55-59 years","women",311
"SE01 Stockholm","231 University and higher education teachers","60-64 years","men",311
"SE01 Stockholm","231 University and higher education teachers","60-64 years","women",272
"SE01 Stockholm","232 Vocational education teachers","16-24 years","men",16
"SE01 Stockholm","232 Vocational education teachers","16-24 years","women",19
"SE01 Stockholm","232 Vocational education teachers","25-29 years","men",42
"SE01 Stockholm","232 Vocational education teachers","25-29 years","women",82
"SE01 Stockholm","232 Vocational education teachers","30-34 years","men",60
"SE01 Stockholm","232 Vocational education teachers","30-34 years","women",114
"SE01 Stockholm","232 Vocational education teachers","35-39 years","men",85
"SE01 Stockholm","232 Vocational education teachers","35-39 years","women",148
"SE01 Stockholm","232 Vocational education teachers","40-44 years","men",92
"SE01 Stockholm","232 Vocational education teachers","40-44 years","women",163
"SE01 Stockholm","232 Vocational education teachers","45-49 years","men",113
"SE01 Stockholm","232 Vocational education teachers","45-49 years","women",142
"SE01 Stockholm","232 Vocational education teachers","50-54 years","men",132
"SE01 Stockholm","232 Vocational education teachers","50-54 years","women",166
"SE01 Stockholm","232 Vocational education teachers","55-59 years","men",120
"SE01 Stockholm","232 Vocational education teachers","55-59 years","women",139
"SE01 Stockholm","232 Vocational education teachers","60-64 years","men",94
"SE01 Stockholm","232 Vocational education teachers","60-64 years","women",102
"SE01 Stockholm","233 Secondary education teachers","16-24 years","men",60
"SE01 Stockholm","233 Secondary education teachers","16-24 years","women",65
"SE01 Stockholm","233 Secondary education teachers","25-29 years","men",155
"SE01 Stockholm","233 Secondary education teachers","25-29 years","women",220
"SE01 Stockholm","233 Secondary education teachers","30-34 years","men",309
"SE01 Stockholm","233 Secondary education teachers","30-34 years","women",363
"SE01 Stockholm","233 Secondary education teachers","35-39 years","men",309
"SE01 Stockholm","233 Secondary education teachers","35-39 years","women",545
"SE01 Stockholm","233 Secondary education teachers","40-44 years","men",384
"SE01 Stockholm","233 Secondary education teachers","40-44 years","women",569
"SE01 Stockholm","233 Secondary education teachers","45-49 years","men",396
"SE01 Stockholm","233 Secondary education teachers","45-49 years","women",460
"SE01 Stockholm","233 Secondary education teachers","50-54 years","men",330
"SE01 Stockholm","233 Secondary education teachers","50-54 years","women",474
"SE01 Stockholm","233 Secondary education teachers","55-59 years","men",325
"SE01 Stockholm","233 Secondary education teachers","55-59 years","women",420
"SE01 Stockholm","233 Secondary education teachers","60-64 years","men",297
"SE01 Stockholm","233 Secondary education teachers","60-64 years","women",343
"SE01 Stockholm","234 Primary- and pre-school teachers ","16-24 years","men",425
"SE01 Stockholm","234 Primary- and pre-school teachers ","16-24 years","women",687
"SE01 Stockholm","234 Primary- and pre-school teachers ","25-29 years","men",740
"SE01 Stockholm","234 Primary- and pre-school teachers ","25-29 years","women",2442
"SE01 Stockholm","234 Primary- and pre-school teachers ","30-34 years","men",920
"SE01 Stockholm","234 Primary- and pre-school teachers ","30-34 years","women",3317
"SE01 Stockholm","234 Primary- and pre-school teachers ","35-39 years","men",976
"SE01 Stockholm","234 Primary- and pre-school teachers ","35-39 years","women",3716
"SE01 Stockholm","234 Primary- and pre-school teachers ","40-44 years","men",952
"SE01 Stockholm","234 Primary- and pre-school teachers ","40-44 years","women",4103
"SE01 Stockholm","234 Primary- and pre-school teachers ","45-49 years","men",853
"SE01 Stockholm","234 Primary- and pre-school teachers ","45-49 years","women",3936
"SE01 Stockholm","234 Primary- and pre-school teachers ","50-54 years","men",722
"SE01 Stockholm","234 Primary- and pre-school teachers ","50-54 years","women",3469
"SE01 Stockholm","234 Primary- and pre-school teachers ","55-59 years","men",618
"SE01 Stockholm","234 Primary- and pre-school teachers ","55-59 years","women",3236
"SE01 Stockholm","234 Primary- and pre-school teachers ","60-64 years","men",634
"SE01 Stockholm","234 Primary- and pre-school teachers ","60-64 years","women",2907
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","16-24 years","men",66
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","16-24 years","women",112
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","25-29 years","men",123
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","25-29 years","women",261
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","30-34 years","men",193
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","30-34 years","women",431
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","35-39 years","men",223
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","35-39 years","women",573
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","40-44 years","men",223
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","40-44 years","women",645
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","45-49 years","men",211
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","45-49 years","women",675
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","50-54 years","men",223
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","50-54 years","women",782
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","55-59 years","men",221
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","55-59 years","women",760
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","60-64 years","men",239
"SE01 Stockholm","235 Teaching professionals not elsewhere classified","60-64 years","women",760
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","16-24 years","men",269
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","16-24 years","women",214
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","25-29 years","men",1613
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","25-29 years","women",1358
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","30-34 years","men",2000
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","30-34 years","women",1703
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","35-39 years","men",1872
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","35-39 years","women",1700
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","40-44 years","men",1731
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","40-44 years","women",1600
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","45-49 years","men",1466
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","45-49 years","women",1597
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","50-54 years","men",1290
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","50-54 years","women",1433
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","55-59 years","men",981
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","55-59 years","women",1013
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","60-64 years","men",750
"SE01 Stockholm","241 Accountants, financial analysts and fund managers","60-64 years","women",651
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","16-24 years","men",221
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","16-24 years","women",383
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","25-29 years","men",1816
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","25-29 years","women",2773
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","30-34 years","men",2362
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","30-34 years","women",3357
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","35-39 years","men",2462
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","35-39 years","women",3678
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","40-44 years","men",2570
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","40-44 years","women",3887
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","45-49 years","men",2568
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","45-49 years","women",3519
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","50-54 years","men",2439
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","50-54 years","women",3247
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","55-59 years","men",1885
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","55-59 years","women",2460
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","60-64 years","men",1524
"SE01 Stockholm","242 Organisation analysts, policy administrators and human resource specialists","60-64 years","women",1812
"SE01 Stockholm","243 Marketing and public relations professionals","16-24 years","men",128
"SE01 Stockholm","243 Marketing and public relations professionals","16-24 years","women",210
"SE01 Stockholm","243 Marketing and public relations professionals","25-29 years","men",943
"SE01 Stockholm","243 Marketing and public relations professionals","25-29 years","women",1532
"SE01 Stockholm","243 Marketing and public relations professionals","30-34 years","men",1320
"SE01 Stockholm","243 Marketing and public relations professionals","30-34 years","women",1987
"SE01 Stockholm","243 Marketing and public relations professionals","35-39 years","men",1350
"SE01 Stockholm","243 Marketing and public relations professionals","35-39 years","women",1911
"SE01 Stockholm","243 Marketing and public relations professionals","40-44 years","men",1263
"SE01 Stockholm","243 Marketing and public relations professionals","40-44 years","women",2125
"SE01 Stockholm","243 Marketing and public relations professionals","45-49 years","men",1082
"SE01 Stockholm","243 Marketing and public relations professionals","45-49 years","women",1801
"SE01 Stockholm","243 Marketing and public relations professionals","50-54 years","men",837
"SE01 Stockholm","243 Marketing and public relations professionals","50-54 years","women",1289
"SE01 Stockholm","243 Marketing and public relations professionals","55-59 years","men",505
"SE01 Stockholm","243 Marketing and public relations professionals","55-59 years","women",703
"SE01 Stockholm","243 Marketing and public relations professionals","60-64 years","men",340
"SE01 Stockholm","243 Marketing and public relations professionals","60-64 years","women",301
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","16-24 years","men",808
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","16-24 years","women",220
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","25-29 years","men",4785
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","25-29 years","women",1533
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","30-34 years","men",6731
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","30-34 years","women",1751
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","35-39 years","men",7145
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","35-39 years","women",1860
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","40-44 years","men",6924
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","40-44 years","women",2046
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","45-49 years","men",6076
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","45-49 years","women",2020
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","50-54 years","men",4515
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","50-54 years","women",1884
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","55-59 years","men",3226
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","55-59 years","women",1256
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","60-64 years","men",1934
"SE01 Stockholm","251 ICT architects, systems analysts and test managers","60-64 years","women",653
"SE01 Stockholm","261 Legal professionals","16-24 years","men",31
"SE01 Stockholm","261 Legal professionals","16-24 years","women",56
"SE01 Stockholm","261 Legal professionals","25-29 years","men",559
"SE01 Stockholm","261 Legal professionals","25-29 years","women",1008
"SE01 Stockholm","261 Legal professionals","30-34 years","men",822
"SE01 Stockholm","261 Legal professionals","30-34 years","women",1337
"SE01 Stockholm","261 Legal professionals","35-39 years","men",766
"SE01 Stockholm","261 Legal professionals","35-39 years","women",1161
"SE01 Stockholm","261 Legal professionals","40-44 years","men",754
"SE01 Stockholm","261 Legal professionals","40-44 years","women",1075
"SE01 Stockholm","261 Legal professionals","45-49 years","men",590
"SE01 Stockholm","261 Legal professionals","45-49 years","women",668
"SE01 Stockholm","261 Legal professionals","50-54 years","men",579
"SE01 Stockholm","261 Legal professionals","50-54 years","women",616
"SE01 Stockholm","261 Legal professionals","55-59 years","men",457
"SE01 Stockholm","261 Legal professionals","55-59 years","women",373
"SE01 Stockholm","261 Legal professionals","60-64 years","men",363
"SE01 Stockholm","261 Legal professionals","60-64 years","women",263
"SE01 Stockholm","262 Museum curators and librarians and related professionals","16-24 years","men",5
"SE01 Stockholm","262 Museum curators and librarians and related professionals","16-24 years","women",20
"SE01 Stockholm","262 Museum curators and librarians and related professionals","25-29 years","men",48
"SE01 Stockholm","262 Museum curators and librarians and related professionals","25-29 years","women",132
"SE01 Stockholm","262 Museum curators and librarians and related professionals","30-34 years","men",109
"SE01 Stockholm","262 Museum curators and librarians and related professionals","30-34 years","women",249
"SE01 Stockholm","262 Museum curators and librarians and related professionals","35-39 years","men",154
"SE01 Stockholm","262 Museum curators and librarians and related professionals","35-39 years","women",314
"SE01 Stockholm","262 Museum curators and librarians and related professionals","40-44 years","men",173
"SE01 Stockholm","262 Museum curators and librarians and related professionals","40-44 years","women",373
"SE01 Stockholm","262 Museum curators and librarians and related professionals","45-49 years","men",150
"SE01 Stockholm","262 Museum curators and librarians and related professionals","45-49 years","women",339
"SE01 Stockholm","262 Museum curators and librarians and related professionals","50-54 years","men",157
"SE01 Stockholm","262 Museum curators and librarians and related professionals","50-54 years","women",299
"SE01 Stockholm","262 Museum curators and librarians and related professionals","55-59 years","men",131
"SE01 Stockholm","262 Museum curators and librarians and related professionals","55-59 years","women",251
"SE01 Stockholm","262 Museum curators and librarians and related professionals","60-64 years","men",86
"SE01 Stockholm","262 Museum curators and librarians and related professionals","60-64 years","women",232
"SE01 Stockholm","264 Authors, journalists and linguists","16-24 years","men",87
"SE01 Stockholm","264 Authors, journalists and linguists","16-24 years","women",110
"SE01 Stockholm","264 Authors, journalists and linguists","25-29 years","men",330
"SE01 Stockholm","264 Authors, journalists and linguists","25-29 years","women",539
"SE01 Stockholm","264 Authors, journalists and linguists","30-34 years","men",486
"SE01 Stockholm","264 Authors, journalists and linguists","30-34 years","women",573
"SE01 Stockholm","264 Authors, journalists and linguists","35-39 years","men",460
"SE01 Stockholm","264 Authors, journalists and linguists","35-39 years","women",607
"SE01 Stockholm","264 Authors, journalists and linguists","40-44 years","men",534
"SE01 Stockholm","264 Authors, journalists and linguists","40-44 years","women",663
"SE01 Stockholm","264 Authors, journalists and linguists","45-49 years","men",463
"SE01 Stockholm","264 Authors, journalists and linguists","45-49 years","women",590
"SE01 Stockholm","264 Authors, journalists and linguists","50-54 years","men",379
"SE01 Stockholm","264 Authors, journalists and linguists","50-54 years","women",503
"SE01 Stockholm","264 Authors, journalists and linguists","55-59 years","men",340
"SE01 Stockholm","264 Authors, journalists and linguists","55-59 years","women",373
"SE01 Stockholm","264 Authors, journalists and linguists","60-64 years","men",298
"SE01 Stockholm","264 Authors, journalists and linguists","60-64 years","women",256
"SE01 Stockholm","265 Creative and performing artists","16-24 years","men",51
"SE01 Stockholm","265 Creative and performing artists","16-24 years","women",69
"SE01 Stockholm","265 Creative and performing artists","25-29 years","men",189
"SE01 Stockholm","265 Creative and performing artists","25-29 years","women",192
"SE01 Stockholm","265 Creative and performing artists","30-34 years","men",267
"SE01 Stockholm","265 Creative and performing artists","30-34 years","women",246
"SE01 Stockholm","265 Creative and performing artists","35-39 years","men",331
"SE01 Stockholm","265 Creative and performing artists","35-39 years","women",287
"SE01 Stockholm","265 Creative and performing artists","40-44 years","men",349
"SE01 Stockholm","265 Creative and performing artists","40-44 years","women",323
"SE01 Stockholm","265 Creative and performing artists","45-49 years","men",320
"SE01 Stockholm","265 Creative and performing artists","45-49 years","women",250
"SE01 Stockholm","265 Creative and performing artists","50-54 years","men",286
"SE01 Stockholm","265 Creative and performing artists","50-54 years","women",249
"SE01 Stockholm","265 Creative and performing artists","55-59 years","men",219
"SE01 Stockholm","265 Creative and performing artists","55-59 years","women",171
"SE01 Stockholm","265 Creative and performing artists","60-64 years","men",171
"SE01 Stockholm","265 Creative and performing artists","60-64 years","women",101
"SE01 Stockholm","266 Social work and counselling professionals","16-24 years","men",24
"SE01 Stockholm","266 Social work and counselling professionals","16-24 years","women",275
"SE01 Stockholm","266 Social work and counselling professionals","25-29 years","men",175
"SE01 Stockholm","266 Social work and counselling professionals","25-29 years","women",1334
"SE01 Stockholm","266 Social work and counselling professionals","30-34 years","men",215
"SE01 Stockholm","266 Social work and counselling professionals","30-34 years","women",1323
"SE01 Stockholm","266 Social work and counselling professionals","35-39 years","men",201
"SE01 Stockholm","266 Social work and counselling professionals","35-39 years","women",991
"SE01 Stockholm","266 Social work and counselling professionals","40-44 years","men",153
"SE01 Stockholm","266 Social work and counselling professionals","40-44 years","women",929
"SE01 Stockholm","266 Social work and counselling professionals","45-49 years","men",132
"SE01 Stockholm","266 Social work and counselling professionals","45-49 years","women",703
"SE01 Stockholm","266 Social work and counselling professionals","50-54 years","men",147
"SE01 Stockholm","266 Social work and counselling professionals","50-54 years","women",720
"SE01 Stockholm","266 Social work and counselling professionals","55-59 years","men",138
"SE01 Stockholm","266 Social work and counselling professionals","55-59 years","women",599
"SE01 Stockholm","266 Social work and counselling professionals","60-64 years","men",128
"SE01 Stockholm","266 Social work and counselling professionals","60-64 years","women",572
"SE01 Stockholm","267 Religious professionals and deacons","16-24 years","men",1
"SE01 Stockholm","267 Religious professionals and deacons","16-24 years","women",1
"SE01 Stockholm","267 Religious professionals and deacons","25-29 years","men",8
"SE01 Stockholm","267 Religious professionals and deacons","25-29 years","women",5
"SE01 Stockholm","267 Religious professionals and deacons","30-34 years","men",14
"SE01 Stockholm","267 Religious professionals and deacons","30-34 years","women",25
"SE01 Stockholm","267 Religious professionals and deacons","35-39 years","men",24
"SE01 Stockholm","267 Religious professionals and deacons","35-39 years","women",43
"SE01 Stockholm","267 Religious professionals and deacons","40-44 years","men",34
"SE01 Stockholm","267 Religious professionals and deacons","40-44 years","women",57
"SE01 Stockholm","267 Religious professionals and deacons","45-49 years","men",41
"SE01 Stockholm","267 Religious professionals and deacons","45-49 years","women",62
"SE01 Stockholm","267 Religious professionals and deacons","50-54 years","men",60
"SE01 Stockholm","267 Religious professionals and deacons","50-54 years","women",81
"SE01 Stockholm","267 Religious professionals and deacons","55-59 years","men",35
"SE01 Stockholm","267 Religious professionals and deacons","55-59 years","women",73
"SE01 Stockholm","267 Religious professionals and deacons","60-64 years","men",43
"SE01 Stockholm","267 Religious professionals and deacons","60-64 years","women",65
"SE01 Stockholm","311 Physical and engineering science technicians","16-24 years","men",555
"SE01 Stockholm","311 Physical and engineering science technicians","16-24 years","women",254
"SE01 Stockholm","311 Physical and engineering science technicians","25-29 years","men",1894
"SE01 Stockholm","311 Physical and engineering science technicians","25-29 years","women",835
"SE01 Stockholm","311 Physical and engineering science technicians","30-34 years","men",2199
"SE01 Stockholm","311 Physical and engineering science technicians","30-34 years","women",813
"SE01 Stockholm","311 Physical and engineering science technicians","35-39 years","men",2028
"SE01 Stockholm","311 Physical and engineering science technicians","35-39 years","women",723
"SE01 Stockholm","311 Physical and engineering science technicians","40-44 years","men",2351
"SE01 Stockholm","311 Physical and engineering science technicians","40-44 years","women",663
