"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"1-3 public sector","218 Specialists within environmental and health protection","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","218 Specialists within environmental and health protection","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","218 Specialists within environmental and health protection","women","primary and secondary education 9-10 years (ISCED97 2)",32800,35400,31400,32900,33000
"1-3 public sector","218 Specialists within environmental and health protection","women","upper secondary education, 2 years or less (ISCED97 3C)",30300,30700,32700,33100,34700
"1-3 public sector","218 Specialists within environmental and health protection","women","upper secondary education 3 years (ISCED97 3A)",30000,31700,31400,32900,32900
"1-3 public sector","218 Specialists within environmental and health protection","women","post-secondary education, less than 3 years (ISCED97 4+5B)",32500,33700,34200,35100,35300
"1-3 public sector","218 Specialists within environmental and health protection","women","post-secondary education 3 years or more (ISCED97 5A)",32100,32600,33300,34300,35100
"1-3 public sector","218 Specialists within environmental and health protection","women","post-graduate education (ISCED97 6)",35800,35800,36700,38400,39300
"1-3 public sector","218 Specialists within environmental and health protection","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","221 Medical doctors","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","221 Medical doctors","men","primary and secondary education 9-10 years (ISCED97 2)",40500,36800,..,36800,36600
"1-3 public sector","221 Medical doctors","men","upper secondary education, 2 years or less (ISCED97 3C)",34800,34800,32000,33800,33300
"1-3 public sector","221 Medical doctors","men","upper secondary education 3 years (ISCED97 3A)",34500,34500,35700,35500,35900
"1-3 public sector","221 Medical doctors","men","post-secondary education, less than 3 years (ISCED97 4+5B)",32500,34500,35200,35100,37500
"1-3 public sector","221 Medical doctors","men","post-secondary education 3 years or more (ISCED97 5A)",62500,63500,63500,64800,65700
"1-3 public sector","221 Medical doctors","men","post-graduate education (ISCED97 6)",65800,68300,69600,71500,73300
"1-3 public sector","221 Medical doctors","men","no information about level of educational attainment",52100,55100,57700,59000,61800
"1-3 public sector","221 Medical doctors","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","221 Medical doctors","women","primary and secondary education 9-10 years (ISCED97 2)",38600,33900,34900,36500,33100
"1-3 public sector","221 Medical doctors","women","upper secondary education, 2 years or less (ISCED97 3C)",27000,29000,32200,33700,36900
"1-3 public sector","221 Medical doctors","women","upper secondary education 3 years (ISCED97 3A)",32300,33600,34100,34400,36000
"1-3 public sector","221 Medical doctors","women","post-secondary education, less than 3 years (ISCED97 4+5B)",32700,33400,33600,34400,35300
"1-3 public sector","221 Medical doctors","women","post-secondary education 3 years or more (ISCED97 5A)",57100,58200,58900,60200,61500
"1-3 public sector","221 Medical doctors","women","post-graduate education (ISCED97 6)",57000,60000,62100,64000,66200
"1-3 public sector","221 Medical doctors","women","no information about level of educational attainment",46800,50800,51200,51100,53500
"1-3 public sector","222 Nursing professionals","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","222 Nursing professionals","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","222 Nursing professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",30400,29100,33900,32400,33900
"1-3 public sector","222 Nursing professionals","men","upper secondary education 3 years (ISCED97 3A)",30300,32000,33000,34900,..
"1-3 public sector","222 Nursing professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",33700,35100,36500,37800,39000
"1-3 public sector","222 Nursing professionals","men","post-secondary education 3 years or more (ISCED97 5A)",32000,33300,34400,35700,36500
"1-3 public sector","222 Nursing professionals","men","post-graduate education (ISCED97 6)",38500,39300,40500,40800,42700
"1-3 public sector","222 Nursing professionals","men","no information about level of educational attainment",31600,34300,34300,36100,36700
"1-3 public sector","222 Nursing professionals","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","222 Nursing professionals","women","primary and secondary education 9-10 years (ISCED97 2)",30000,31600,32000,..,..
"1-3 public sector","222 Nursing professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",30100,32300,31500,32400,32900
"1-3 public sector","222 Nursing professionals","women","upper secondary education 3 years (ISCED97 3A)",29600,32200,31100,32500,33500
"1-3 public sector","222 Nursing professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",32900,34200,35500,36700,37800
"1-3 public sector","222 Nursing professionals","women","post-secondary education 3 years or more (ISCED97 5A)",31300,32600,33600,34700,35600
"1-3 public sector","222 Nursing professionals","women","post-graduate education (ISCED97 6)",36500,38100,38600,40500,41000
"1-3 public sector","222 Nursing professionals","women","no information about level of educational attainment",32800,34000,34500,36300,36600
"1-3 public sector","223 Nursing professionals (cont.)","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","223 Nursing professionals (cont.)","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","223 Nursing professionals (cont.)","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","223 Nursing professionals (cont.)","men","upper secondary education 3 years (ISCED97 3A)",..,28200,33300,34800,..
"1-3 public sector","223 Nursing professionals (cont.)","men","post-secondary education, less than 3 years (ISCED97 4+5B)",34500,35700,36600,37800,38700
"1-3 public sector","223 Nursing professionals (cont.)","men","post-secondary education 3 years or more (ISCED97 5A)",31900,32800,33600,35000,35800
"1-3 public sector","223 Nursing professionals (cont.)","men","post-graduate education (ISCED97 6)",41900,42900,43100,42100,45300
"1-3 public sector","223 Nursing professionals (cont.)","men","no information about level of educational attainment",40400,29300,32200,33000,33300
"1-3 public sector","223 Nursing professionals (cont.)","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","223 Nursing professionals (cont.)","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","223 Nursing professionals (cont.)","women","upper secondary education, 2 years or less (ISCED97 3C)",29000,30600,..,32600,35500
"1-3 public sector","223 Nursing professionals (cont.)","women","upper secondary education 3 years (ISCED97 3A)",32400,34700,34100,31000,..
"1-3 public sector","223 Nursing professionals (cont.)","women","post-secondary education, less than 3 years (ISCED97 4+5B)",33800,35000,36000,37200,38300
"1-3 public sector","223 Nursing professionals (cont.)","women","post-secondary education 3 years or more (ISCED97 5A)",32300,33400,34400,35500,36600
"1-3 public sector","223 Nursing professionals (cont.)","women","post-graduate education (ISCED97 6)",38100,40000,40000,42000,43200
"1-3 public sector","223 Nursing professionals (cont.)","women","no information about level of educational attainment",32000,31100,33600,34500,35500
"1-3 public sector","224 Psychologists and psychotherapists","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","224 Psychologists and psychotherapists","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","224 Psychologists and psychotherapists","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","224 Psychologists and psychotherapists","men","upper secondary education 3 years (ISCED97 3A)",30800,32900,34700,34300,33300
"1-3 public sector","224 Psychologists and psychotherapists","men","post-secondary education, less than 3 years (ISCED97 4+5B)",31000,33300,32300,31300,34300
"1-3 public sector","224 Psychologists and psychotherapists","men","post-secondary education 3 years or more (ISCED97 5A)",36100,37000,37700,38700,39800
"1-3 public sector","224 Psychologists and psychotherapists","men","post-graduate education (ISCED97 6)",42700,42600,44100,43400,44200
"1-3 public sector","224 Psychologists and psychotherapists","men","no information about level of educational attainment",34000,36400,36000,36700,40500
"1-3 public sector","224 Psychologists and psychotherapists","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","224 Psychologists and psychotherapists","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","224 Psychologists and psychotherapists","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","224 Psychologists and psychotherapists","women","upper secondary education 3 years (ISCED97 3A)",30300,31200,33900,33200,33500
"1-3 public sector","224 Psychologists and psychotherapists","women","post-secondary education, less than 3 years (ISCED97 4+5B)",31000,31300,31800,32000,33300
"1-3 public sector","224 Psychologists and psychotherapists","women","post-secondary education 3 years or more (ISCED97 5A)",35900,36800,37600,38600,39800
"1-3 public sector","224 Psychologists and psychotherapists","women","post-graduate education (ISCED97 6)",41200,42000,41500,43100,44700
"1-3 public sector","224 Psychologists and psychotherapists","women","no information about level of educational attainment",35500,36000,35300,39800,37300
"1-3 public sector","225 Veterinarians","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","men","post-secondary education 3 years or more (ISCED97 5A)",41800,42500,41900,42400,43100
"1-3 public sector","225 Veterinarians","men","post-graduate education (ISCED97 6)",42600,43400,45000,44900,46000
"1-3 public sector","225 Veterinarians","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","225 Veterinarians","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","225 Veterinarians","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,32100,..,..
"1-3 public sector","225 Veterinarians","women","post-secondary education 3 years or more (ISCED97 5A)",40100,40600,41100,41000,42500
"1-3 public sector","225 Veterinarians","women","post-graduate education (ISCED97 6)",43800,45500,46300,46400,46600
"1-3 public sector","225 Veterinarians","women","no information about level of educational attainment",36800,..,..,42400,39300
"1-3 public sector","226 Dentists","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","226 Dentists","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","226 Dentists","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","226 Dentists","men","upper secondary education 3 years (ISCED97 3A)",..,30700,..,32700,33800
"1-3 public sector","226 Dentists","men","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,34700,42100,37600
"1-3 public sector","226 Dentists","men","post-secondary education 3 years or more (ISCED97 5A)",47600,47700,48500,50200,51100
"1-3 public sector","226 Dentists","men","post-graduate education (ISCED97 6)",56300,62900,59500,63000,65600
"1-3 public sector","226 Dentists","men","no information about level of educational attainment",37900,39400,37900,38000,43100
"1-3 public sector","226 Dentists","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","226 Dentists","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","226 Dentists","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","226 Dentists","women","upper secondary education 3 years (ISCED97 3A)",31400,31800,..,32200,34000
"1-3 public sector","226 Dentists","women","post-secondary education, less than 3 years (ISCED97 4+5B)",34500,35300,33200,32200,..
"1-3 public sector","226 Dentists","women","post-secondary education 3 years or more (ISCED97 5A)",44400,45100,46000,46900,47600
"1-3 public sector","226 Dentists","women","post-graduate education (ISCED97 6)",49800,53900,54700,58000,60500
"1-3 public sector","226 Dentists","women","no information about level of educational attainment",35000,37600,38300,42200,44700
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","upper secondary education, 2 years or less (ISCED97 3C)",23900,24900,29300,29600,31000
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","upper secondary education 3 years (ISCED97 3A)",28800,26600,25300,28400,31500
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","post-secondary education, less than 3 years (ISCED97 4+5B)",30400,31200,32200,33100,34300
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","post-secondary education 3 years or more (ISCED97 5A)",27300,28000,28700,29600,30600
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","post-graduate education (ISCED97 6)",34300,35100,35900,36400,39900
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","men","no information about level of educational attainment",27100,27900,28100,30000,30300
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","upper secondary education, 2 years or less (ISCED97 3C)",26500,26800,27900,28400,29100
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","upper secondary education 3 years (ISCED97 3A)",26800,27300,27600,29700,29600
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","post-secondary education, less than 3 years (ISCED97 4+5B)",30100,31000,31800,32800,33800
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","post-secondary education 3 years or more (ISCED97 5A)",27800,28500,29300,30200,31200
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","post-graduate education (ISCED97 6)",38000,38100,38100,39200,40600
"1-3 public sector","227 Naprapaths, physiotherapists, occupational therapists","women","no information about level of educational attainment",26400,29200,27400,29200,29200
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","upper secondary education, 2 years or less (ISCED97 3C)",28300,27800,28800,28500,29600
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","upper secondary education 3 years (ISCED97 3A)",37100,36600,39100,40000,41500
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","post-secondary education, less than 3 years (ISCED97 4+5B)",35000,35800,38400,39100,38200
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","post-secondary education 3 years or more (ISCED97 5A)",32500,32100,33000,32800,33800
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","post-graduate education (ISCED97 6)",43000,41700,42900,44100,45100
"1-3 public sector","228 Specialists in health care not elsewhere classified","men","no information about level of educational attainment",..,35700,33800,35400,..
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","upper secondary education, 2 years or less (ISCED97 3C)",27200,27200,27600,27900,..
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","upper secondary education 3 years (ISCED97 3A)",31000,30200,31300,33000,32700
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","post-secondary education, less than 3 years (ISCED97 4+5B)",30200,31000,31800,33000,33700
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","post-secondary education 3 years or more (ISCED97 5A)",30400,31100,31700,32300,33200
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","post-graduate education (ISCED97 6)",37500,38100,39000,39800,40600
"1-3 public sector","228 Specialists in health care not elsewhere classified","women","no information about level of educational attainment",28600,27600,26300,30400,32800
"1-3 public sector","231 University and higher education teachers","men","primary and secondary education less than 9 years (ISCED97 1)",45400,46100,47500,..,..
"1-3 public sector","231 University and higher education teachers","men","primary and secondary education 9-10 years (ISCED97 2)",35100,34900,40600,41800,39000
"1-3 public sector","231 University and higher education teachers","men","upper secondary education, 2 years or less (ISCED97 3C)",36500,37800,38000,38100,39200
"1-3 public sector","231 University and higher education teachers","men","upper secondary education 3 years (ISCED97 3A)",39000,39800,40700,41000,41500
"1-3 public sector","231 University and higher education teachers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",33400,33800,35500,36000,37500
"1-3 public sector","231 University and higher education teachers","men","post-secondary education 3 years or more (ISCED97 5A)",30500,31100,31800,32500,33400
"1-3 public sector","231 University and higher education teachers","men","post-graduate education (ISCED97 6)",48200,49000,50100,51100,52200
"1-3 public sector","231 University and higher education teachers","men","no information about level of educational attainment",39200,39400,39900,39800,39500
"1-3 public sector","231 University and higher education teachers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","231 University and higher education teachers","women","primary and secondary education 9-10 years (ISCED97 2)",40200,41500,35600,36900,36600
"1-3 public sector","231 University and higher education teachers","women","upper secondary education, 2 years or less (ISCED97 3C)",38400,40500,45200,39100,39000
"1-3 public sector","231 University and higher education teachers","women","upper secondary education 3 years (ISCED97 3A)",34500,35500,36300,37600,40700
"1-3 public sector","231 University and higher education teachers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",31500,31900,33200,34200,35400
"1-3 public sector","231 University and higher education teachers","women","post-secondary education 3 years or more (ISCED97 5A)",30100,30900,31700,32500,33300
"1-3 public sector","231 University and higher education teachers","women","post-graduate education (ISCED97 6)",43700,44700,45800,46800,47800
"1-3 public sector","231 University and higher education teachers","women","no information about level of educational attainment",35200,36000,36700,37500,37500
"1-3 public sector","232 Vocational education teachers","men","primary and secondary education less than 9 years (ISCED97 1)",30800,30100,28800,..,..
"1-3 public sector","232 Vocational education teachers","men","primary and secondary education 9-10 years (ISCED97 2)",29900,31100,31500,32700,33500
"1-3 public sector","232 Vocational education teachers","men","upper secondary education, 2 years or less (ISCED97 3C)",30400,31100,32600,33600,34200
"1-3 public sector","232 Vocational education teachers","men","upper secondary education 3 years (ISCED97 3A)",29700,30800,31600,32600,33400
"1-3 public sector","232 Vocational education teachers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",32700,33500,35200,36300,37200
"1-3 public sector","232 Vocational education teachers","men","post-secondary education 3 years or more (ISCED97 5A)",32400,33600,35600,36700,37700
"1-3 public sector","232 Vocational education teachers","men","post-graduate education (ISCED97 6)",32600,34200,37400,37600,38600
"1-3 public sector","232 Vocational education teachers","men","no information about level of educational attainment",28100,..,34100,..,35500
"1-3 public sector","232 Vocational education teachers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","232 Vocational education teachers","women","primary and secondary education 9-10 years (ISCED97 2)",26300,27600,28800,29400,29900
"1-3 public sector","232 Vocational education teachers","women","upper secondary education, 2 years or less (ISCED97 3C)",29100,29900,30300,30900,31900
"1-3 public sector","232 Vocational education teachers","women","upper secondary education 3 years (ISCED97 3A)",26500,27100,27600,29500,30800
"1-3 public sector","232 Vocational education teachers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",31600,32500,33900,34900,35800
"1-3 public sector","232 Vocational education teachers","women","post-secondary education 3 years or more (ISCED97 5A)",32600,33700,35600,36700,37300
"1-3 public sector","232 Vocational education teachers","women","post-graduate education (ISCED97 6)",35000,36700,36000,38200,37700
"1-3 public sector","232 Vocational education teachers","women","no information about level of educational attainment",33000,28300,32300,38500,35600
"1-3 public sector","233 Secondary education teachers","men","primary and secondary education less than 9 years (ISCED97 1)",29500,..,24100,..,27700
"1-3 public sector","233 Secondary education teachers","men","primary and secondary education 9-10 years (ISCED97 2)",30900,31100,29900,32200,30600
"1-3 public sector","233 Secondary education teachers","men","upper secondary education, 2 years or less (ISCED97 3C)",30000,30400,31200,31700,32300
"1-3 public sector","233 Secondary education teachers","men","upper secondary education 3 years (ISCED97 3A)",26800,27300,27500,28500,29600
"1-3 public sector","233 Secondary education teachers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",31700,32500,32700,33600,34500
"1-3 public sector","233 Secondary education teachers","men","post-secondary education 3 years or more (ISCED97 5A)",32400,33300,35100,36200,37200
"1-3 public sector","233 Secondary education teachers","men","post-graduate education (ISCED97 6)",36000,37700,39200,39900,40800
"1-3 public sector","233 Secondary education teachers","men","no information about level of educational attainment",29400,28300,28600,31600,32700
"1-3 public sector","233 Secondary education teachers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,26500,..,29500
"1-3 public sector","233 Secondary education teachers","women","primary and secondary education 9-10 years (ISCED97 2)",26900,25000,26500,27900,27300
"1-3 public sector","233 Secondary education teachers","women","upper secondary education, 2 years or less (ISCED97 3C)",28200,28800,28500,29400,29900
"1-3 public sector","233 Secondary education teachers","women","upper secondary education 3 years (ISCED97 3A)",25900,26100,26000,27000,28000
"1-3 public sector","233 Secondary education teachers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",30800,31400,32000,32900,33500
"1-3 public sector","233 Secondary education teachers","women","post-secondary education 3 years or more (ISCED97 5A)",32000,33100,35000,36200,37200
"1-3 public sector","233 Secondary education teachers","women","post-graduate education (ISCED97 6)",36200,37500,39600,41100,41000
"1-3 public sector","233 Secondary education teachers","women","no information about level of educational attainment",27400,30300,30700,31500,34600
"1-3 public sector","234 Primary- and pre-school teachers ","men","primary and secondary education less than 9 years (ISCED97 1)",22000,21500,22100,22700,23100
"1-3 public sector","234 Primary- and pre-school teachers ","men","primary and secondary education 9-10 years (ISCED97 2)",22100,22600,23300,24000,25300
"1-3 public sector","234 Primary- and pre-school teachers ","men","upper secondary education, 2 years or less (ISCED97 3C)",24800,25300,25800,26500,27400
"1-3 public sector","234 Primary- and pre-school teachers ","men","upper secondary education 3 years (ISCED97 3A)",21000,21500,22200,23100,23800
"1-3 public sector","234 Primary- and pre-school teachers ","men","post-secondary education, less than 3 years (ISCED97 4+5B)",27900,28500,29300,30100,30700
"1-3 public sector","234 Primary- and pre-school teachers ","men","post-secondary education 3 years or more (ISCED97 5A)",29400,30400,32200,33500,34400
"1-3 public sector","234 Primary- and pre-school teachers ","men","post-graduate education (ISCED97 6)",30400,31100,32000,33000,33600
"1-3 public sector","234 Primary- and pre-school teachers ","men","no information about level of educational attainment",26000,25000,25800,26800,26800
"1-3 public sector","234 Primary- and pre-school teachers ","women","primary and secondary education less than 9 years (ISCED97 1)",21100,21500,22000,21800,22000
"1-3 public sector","234 Primary- and pre-school teachers ","women","primary and secondary education 9-10 years (ISCED97 2)",21000,21500,22100,22500,23200
"1-3 public sector","234 Primary- and pre-school teachers ","women","upper secondary education, 2 years or less (ISCED97 3C)",24300,24700,24900,25600,26300
"1-3 public sector","234 Primary- and pre-school teachers ","women","upper secondary education 3 years (ISCED97 3A)",20800,21200,21900,22600,23300
"1-3 public sector","234 Primary- and pre-school teachers ","women","post-secondary education, less than 3 years (ISCED97 4+5B)",28000,28800,29900,30800,31700
"1-3 public sector","234 Primary- and pre-school teachers ","women","post-secondary education 3 years or more (ISCED97 5A)",28700,29800,31600,32800,33700
"1-3 public sector","234 Primary- and pre-school teachers ","women","post-graduate education (ISCED97 6)",29000,31300,32800,33800,34900
"1-3 public sector","234 Primary- and pre-school teachers ","women","no information about level of educational attainment",26400,26200,26500,27000,28200
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","primary and secondary education less than 9 years (ISCED97 1)",23200,23400,22800,23000,23500
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","primary and secondary education 9-10 years (ISCED97 2)",25900,25800,25700,26600,26700
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","upper secondary education, 2 years or less (ISCED97 3C)",27500,27800,28100,28600,29300
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","upper secondary education 3 years (ISCED97 3A)",25300,25400,25400,26100,27100
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","post-secondary education, less than 3 years (ISCED97 4+5B)",28400,29000,29000,29800,30700
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","post-secondary education 3 years or more (ISCED97 5A)",30200,31000,31800,32700,33600
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","post-graduate education (ISCED97 6)",37100,39300,38200,38200,40500
"1-3 public sector","235 Teaching professionals not elsewhere classified","men","no information about level of educational attainment",28500,30400,26100,26500,28000
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","primary and secondary education less than 9 years (ISCED97 1)",20700,21100,20900,21500,22200
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","primary and secondary education 9-10 years (ISCED97 2)",24100,24300,24000,24100,24200
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","upper secondary education, 2 years or less (ISCED97 3C)",25800,25800,26000,26300,27400
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","upper secondary education 3 years (ISCED97 3A)",23200,23400,23800,24200,25400
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","post-secondary education, less than 3 years (ISCED97 4+5B)",28400,28800,29400,29800,30600
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","post-secondary education 3 years or more (ISCED97 5A)",31600,32500,34000,35100,36300
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","post-graduate education (ISCED97 6)",35900,36700,37600,38400,39700
"1-3 public sector","235 Teaching professionals not elsewhere classified","women","no information about level of educational attainment",28000,28800,27000,26900,29900
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","primary and secondary education 9-10 years (ISCED97 2)",38300,38000,40500,39200,40200
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","upper secondary education, 2 years or less (ISCED97 3C)",38500,39600,39000,39600,40500
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","upper secondary education 3 years (ISCED97 3A)",38400,40000,40800,41500,42800
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",39200,39800,40400,41100,42300
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","post-secondary education 3 years or more (ISCED97 5A)",39200,39900,40500,41400,42400
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","post-graduate education (ISCED97 6)",44500,46300,47500,48300,49600
"1-3 public sector","241 Accountants, financial analysts and fund managers","men","no information about level of educational attainment",47900,48200,55400,45300,46000
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","primary and secondary education 9-10 years (ISCED97 2)",33500,33700,34800,35900,37100
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","upper secondary education, 2 years or less (ISCED97 3C)",32200,33300,34500,35700,36500
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","upper secondary education 3 years (ISCED97 3A)",33800,34600,35400,36300,37400
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",35200,36200,36900,37700,38800
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","post-secondary education 3 years or more (ISCED97 5A)",37100,38200,38800,39600,40700
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","post-graduate education (ISCED97 6)",42700,44400,44300,46400,47800
"1-3 public sector","241 Accountants, financial analysts and fund managers","women","no information about level of educational attainment",36800,34800,37600,41400,41100
"1-3 public sector","242 Organisation analysts, policy administrators and human resource specialists","men","primary and secondary education less than 9 years (ISCED97 1)",30200,33100,31900,30600,30300
