"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018"
"1-3 public sector","334 Administrative and specialized secretaries","women","65-66 years",31200,29300,30600,32800,31000
"1-3 public sector","335 Tax and related government associate professionals","men","18-24 years",23500,23500,23900,24800,25500
"1-3 public sector","335 Tax and related government associate professionals","men","25-34 years",27500,27900,28800,29600,30300
"1-3 public sector","335 Tax and related government associate professionals","men","35-44 years",31400,32700,32600,33500,33800
"1-3 public sector","335 Tax and related government associate professionals","men","45-54 years",33500,34600,34800,35800,36100
"1-3 public sector","335 Tax and related government associate professionals","men","55-64 years",33700,35300,35200,36300,37100
"1-3 public sector","335 Tax and related government associate professionals","men","65-66 years",34800,35800,36200,36700,37100
"1-3 public sector","335 Tax and related government associate professionals","women","18-24 years",22800,23300,24100,25000,25600
"1-3 public sector","335 Tax and related government associate professionals","women","25-34 years",26300,26900,27500,28200,29100
"1-3 public sector","335 Tax and related government associate professionals","women","35-44 years",28200,29100,29700,30200,31000
"1-3 public sector","335 Tax and related government associate professionals","women","45-54 years",28800,29800,30100,30800,31800
"1-3 public sector","335 Tax and related government associate professionals","women","55-64 years",28300,29400,29800,30600,31800
"1-3 public sector","335 Tax and related government associate professionals","women","65-66 years",28900,29600,30000,31000,31000
"1-3 public sector","336 Police officers ","men","18-24 years",20400,23600,23300,22500,23600
"1-3 public sector","336 Police officers ","men","25-34 years",26200,27000,27600,28500,30000
"1-3 public sector","336 Police officers ","men","35-44 years",30900,30900,31600,32900,35200
"1-3 public sector","336 Police officers ","men","45-54 years",35900,36300,36700,37500,39800
"1-3 public sector","336 Police officers ","men","55-64 years",35800,36600,37500,38300,40800
"1-3 public sector","336 Police officers ","men","65-66 years",35500,36200,37600,38800,41400
"1-3 public sector","336 Police officers ","women","18-24 years",22200,22100,23700,24000,23300
"1-3 public sector","336 Police officers ","women","25-34 years",26100,26900,27700,28600,30100
"1-3 public sector","336 Police officers ","women","35-44 years",30100,30300,30900,31900,34200
"1-3 public sector","336 Police officers ","women","45-54 years",34700,35000,35300,35900,38100
"1-3 public sector","336 Police officers ","women","55-64 years",35400,35900,36700,37500,39700
"1-3 public sector","336 Police officers ","women","65-66 years",35800,37200,36000,37500,38600
"1-3 public sector","341 Social work and religious associate professionals","men","18-24 years",24500,24900,26600,27000,27800
"1-3 public sector","341 Social work and religious associate professionals","men","25-34 years",26300,26800,27700,28300,29000
"1-3 public sector","341 Social work and religious associate professionals","men","35-44 years",27300,27900,28800,29600,30100
"1-3 public sector","341 Social work and religious associate professionals","men","45-54 years",27800,28400,29200,30100,30800
"1-3 public sector","341 Social work and religious associate professionals","men","55-64 years",28100,28700,29300,30200,31000
"1-3 public sector","341 Social work and religious associate professionals","men","65-66 years",29200,28400,30400,30400,31600
"1-3 public sector","341 Social work and religious associate professionals","women","18-24 years",24700,25600,26900,27000,27100
"1-3 public sector","341 Social work and religious associate professionals","women","25-34 years",26200,26800,27800,28500,29000
"1-3 public sector","341 Social work and religious associate professionals","women","35-44 years",27200,27800,28800,29600,30300
"1-3 public sector","341 Social work and religious associate professionals","women","45-54 years",27800,28300,29200,30100,30800
"1-3 public sector","341 Social work and religious associate professionals","women","55-64 years",28100,28800,29600,30400,31100
"1-3 public sector","341 Social work and religious associate professionals","women","65-66 years",27700,28500,30100,31100,31400
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","men","18-24 years",21300,22000,22800,23200,23500
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","men","25-34 years",23800,24100,24600,25300,26000
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","men","35-44 years",25400,25900,26400,27100,27500
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","men","45-54 years",26300,26700,27400,28000,28400
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","men","55-64 years",27300,28000,28300,28900,29600
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","men","65-66 years",27900,28600,29100,29900,29300
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","women","18-24 years",21500,21900,22200,22900,23400
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","women","25-34 years",24300,24800,25100,25600,26100
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","women","35-44 years",25500,26100,26700,27300,28000
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","women","45-54 years",26100,26800,27400,28100,28600
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","women","55-64 years",26600,27200,27600,28400,29000
"1-3 public sector","342 Athletes, fitness instructors and recreational workers","women","65-66 years",26400,27600,27600,27300,28400
"1-3 public sector","343 Photographers, interior decorators and entertainers","men","18-24 years",..,..,..,..,..
"1-3 public sector","343 Photographers, interior decorators and entertainers","men","25-34 years",..,..,29200,30500,31100
"1-3 public sector","343 Photographers, interior decorators and entertainers","men","35-44 years",29600,29900,31000,31800,33400
"1-3 public sector","343 Photographers, interior decorators and entertainers","men","45-54 years",31200,31800,32900,33500,34300
"1-3 public sector","343 Photographers, interior decorators and entertainers","men","55-64 years",28000,28900,29800,31100,32700
"1-3 public sector","343 Photographers, interior decorators and entertainers","men","65-66 years",28200,32600,..,37700,..
"1-3 public sector","343 Photographers, interior decorators and entertainers","women","18-24 years",..,..,..,..,..
"1-3 public sector","343 Photographers, interior decorators and entertainers","women","25-34 years",..,..,..,28700,29400
"1-3 public sector","343 Photographers, interior decorators and entertainers","women","35-44 years",28200,28500,29900,30200,31500
"1-3 public sector","343 Photographers, interior decorators and entertainers","women","45-54 years",29500,30200,31600,32200,33600
"1-3 public sector","343 Photographers, interior decorators and entertainers","women","55-64 years",27600,28000,28500,31600,32600
"1-3 public sector","343 Photographers, interior decorators and entertainers","women","65-66 years",..,..,..,..,..
"1-3 public sector","344 Driving instructors and other instructors","men","18-24 years",..,..,..,..,..
"1-3 public sector","344 Driving instructors and other instructors","men","25-34 years",24900,26800,24800,27800,30100
"1-3 public sector","344 Driving instructors and other instructors","men","35-44 years",28200,27400,30400,35500,33700
"1-3 public sector","344 Driving instructors and other instructors","men","45-54 years",28000,28900,29200,33200,32900
"1-3 public sector","344 Driving instructors and other instructors","men","55-64 years",28900,30000,29900,31800,32700
"1-3 public sector","344 Driving instructors and other instructors","men","65-66 years",..,..,..,..,..
"1-3 public sector","344 Driving instructors and other instructors","women","18-24 years",..,..,..,..,..
"1-3 public sector","344 Driving instructors and other instructors","women","25-34 years",26000,27700,27000,30100,27700
"1-3 public sector","344 Driving instructors and other instructors","women","35-44 years",30800,32100,33500,32700,33500
"1-3 public sector","344 Driving instructors and other instructors","women","45-54 years",28100,29000,28500,33100,34100
"1-3 public sector","344 Driving instructors and other instructors","women","55-64 years",28000,28400,29600,30200,32600
"1-3 public sector","344 Driving instructors and other instructors","women","65-66 years",..,..,..,..,..
"1-3 public sector","345 Culinary associate professionals","men","18-24 years",..,..,..,..,..
"1-3 public sector","345 Culinary associate professionals","men","25-34 years",28600,28200,29300,31900,31900
"1-3 public sector","345 Culinary associate professionals","men","35-44 years",30800,30800,31900,32000,33500
"1-3 public sector","345 Culinary associate professionals","men","45-54 years",25900,29600,32800,32000,31600
"1-3 public sector","345 Culinary associate professionals","men","55-64 years",32000,32100,32100,31800,32500
"1-3 public sector","345 Culinary associate professionals","men","65-66 years",..,..,..,..,..
"1-3 public sector","345 Culinary associate professionals","women","18-24 years",23700,24000,..,..,..
"1-3 public sector","345 Culinary associate professionals","women","25-34 years",27800,28200,29300,29100,30400
"1-3 public sector","345 Culinary associate professionals","women","35-44 years",32400,33100,33400,34300,34100
"1-3 public sector","345 Culinary associate professionals","women","45-54 years",31100,32400,33700,34600,35000
"1-3 public sector","345 Culinary associate professionals","women","55-64 years",30800,31800,32000,33200,34500
"1-3 public sector","345 Culinary associate professionals","women","65-66 years",..,30000,33800,35600,31600
"1-3 public sector","351 ICT operations and user support technicians","men","18-24 years",23600,24200,24800,25000,25100
"1-3 public sector","351 ICT operations and user support technicians","men","25-34 years",27300,27700,28800,29800,30400
"1-3 public sector","351 ICT operations and user support technicians","men","35-44 years",30300,31000,32900,33700,34400
"1-3 public sector","351 ICT operations and user support technicians","men","45-54 years",30600,31300,33700,34700,35800
"1-3 public sector","351 ICT operations and user support technicians","men","55-64 years",30400,31200,32900,33900,34800
"1-3 public sector","351 ICT operations and user support technicians","men","65-66 years",29300,31000,32900,33900,35900
"1-3 public sector","351 ICT operations and user support technicians","women","18-24 years",24000,23700,25900,24700,24300
"1-3 public sector","351 ICT operations and user support technicians","women","25-34 years",27800,28100,28800,29500,29600
"1-3 public sector","351 ICT operations and user support technicians","women","35-44 years",29800,30400,31600,32500,33500
"1-3 public sector","351 ICT operations and user support technicians","women","45-54 years",30300,30900,32600,33500,34400
"1-3 public sector","351 ICT operations and user support technicians","women","55-64 years",30000,30600,32300,33100,34100
"1-3 public sector","351 ICT operations and user support technicians","women","65-66 years",29200,30300,29900,33400,41200
"1-3 public sector","352 Broadcasting and audio-visual technicians","men","18-24 years",24000,22900,26300,26500,28400
"1-3 public sector","352 Broadcasting and audio-visual technicians","men","25-34 years",27000,26600,27600,28100,29100
"1-3 public sector","352 Broadcasting and audio-visual technicians","men","35-44 years",28000,27900,29400,29200,30500
"1-3 public sector","352 Broadcasting and audio-visual technicians","men","45-54 years",29900,29300,30400,31800,32800
"1-3 public sector","352 Broadcasting and audio-visual technicians","men","55-64 years",29800,29300,30700,33000,36000
"1-3 public sector","352 Broadcasting and audio-visual technicians","men","65-66 years",..,..,..,..,..
"1-3 public sector","352 Broadcasting and audio-visual technicians","women","18-24 years",24100,23700,25000,26900,28100
"1-3 public sector","352 Broadcasting and audio-visual technicians","women","25-34 years",26400,26800,26900,27300,28900
"1-3 public sector","352 Broadcasting and audio-visual technicians","women","35-44 years",27100,27300,27800,29000,30200
"1-3 public sector","352 Broadcasting and audio-visual technicians","women","45-54 years",27200,28400,28900,30200,29700
"1-3 public sector","352 Broadcasting and audio-visual technicians","women","55-64 years",28800,29800,29200,30700,32100
"1-3 public sector","352 Broadcasting and audio-visual technicians","women","65-66 years",..,..,..,..,..
"1-3 public sector","411 Office assistants and other secretaries","men","18-24 years",20400,21100,22100,22200,23200
"1-3 public sector","411 Office assistants and other secretaries","men","25-34 years",24000,24600,25400,26100,26600
"1-3 public sector","411 Office assistants and other secretaries","men","35-44 years",27000,27500,28100,29200,29000
"1-3 public sector","411 Office assistants and other secretaries","men","45-54 years",27400,28000,28600,30000,30200
"1-3 public sector","411 Office assistants and other secretaries","men","55-64 years",27700,28300,28900,29800,29700
"1-3 public sector","411 Office assistants and other secretaries","men","65-66 years",28900,27700,29500,30900,29500
"1-3 public sector","411 Office assistants and other secretaries","women","18-24 years",20700,21500,22200,22700,23400
"1-3 public sector","411 Office assistants and other secretaries","women","25-34 years",23900,24400,25100,25900,26300
"1-3 public sector","411 Office assistants and other secretaries","women","35-44 years",25500,26100,26900,27500,28000
"1-3 public sector","411 Office assistants and other secretaries","women","45-54 years",25800,26500,27300,28000,28700
"1-3 public sector","411 Office assistants and other secretaries","women","55-64 years",25900,26600,27300,28100,28800
"1-3 public sector","411 Office assistants and other secretaries","women","65-66 years",26400,26900,27600,28500,29100
"1-3 public sector","421 Croupiers, debt collectors and related workers","men","18-24 years",..,..,..,..,..
"1-3 public sector","421 Croupiers, debt collectors and related workers","men","25-34 years",26700,27100,26500,28200,28700
"1-3 public sector","421 Croupiers, debt collectors and related workers","men","35-44 years",27500,27000,26900,28800,29800
"1-3 public sector","421 Croupiers, debt collectors and related workers","men","45-54 years",26700,..,26200,27700,28400
"1-3 public sector","421 Croupiers, debt collectors and related workers","men","55-64 years",..,..,30000,28600,28500
"1-3 public sector","421 Croupiers, debt collectors and related workers","men","65-66 years",..,..,..,..,..
"1-3 public sector","421 Croupiers, debt collectors and related workers","women","18-24 years",26200,..,26000,..,..
"1-3 public sector","421 Croupiers, debt collectors and related workers","women","25-34 years",26600,26700,26800,28300,28700
"1-3 public sector","421 Croupiers, debt collectors and related workers","women","35-44 years",27000,26800,27700,28800,29400
"1-3 public sector","421 Croupiers, debt collectors and related workers","women","45-54 years",27600,26400,27300,28200,28900
"1-3 public sector","421 Croupiers, debt collectors and related workers","women","55-64 years",26000,26200,27400,28700,..
"1-3 public sector","421 Croupiers, debt collectors and related workers","women","65-66 years",..,..,..,..,..
"1-3 public sector","422 Client information clerks","men","18-24 years",21200,21900,22800,23300,24000
"1-3 public sector","422 Client information clerks","men","25-34 years",24200,24400,25600,25900,26700
"1-3 public sector","422 Client information clerks","men","35-44 years",24500,25400,26800,27900,28400
"1-3 public sector","422 Client information clerks","men","45-54 years",25800,26500,27800,28500,29400
"1-3 public sector","422 Client information clerks","men","55-64 years",25900,26800,28100,28600,29200
"1-3 public sector","422 Client information clerks","men","65-66 years",..,23800,26200,27200,28000
"1-3 public sector","422 Client information clerks","women","18-24 years",20700,21300,22500,22900,23200
"1-3 public sector","422 Client information clerks","women","25-34 years",22900,23700,25000,25600,25900
"1-3 public sector","422 Client information clerks","women","35-44 years",24100,24600,25900,26600,27100
"1-3 public sector","422 Client information clerks","women","45-54 years",24100,24700,25900,26700,27300
"1-3 public sector","422 Client information clerks","women","55-64 years",23900,24600,26100,26600,27000
"1-3 public sector","422 Client information clerks","women","65-66 years",24200,24600,25800,26300,26800
"1-3 public sector","432 Stores and transport clerks","men","18-24 years",21400,22000,22600,23100,23500
"1-3 public sector","432 Stores and transport clerks","men","25-34 years",27700,27700,28000,28800,29200
"1-3 public sector","432 Stores and transport clerks","men","35-44 years",28900,29600,29700,30300,30700
"1-3 public sector","432 Stores and transport clerks","men","45-54 years",29100,29500,29500,29800,30800
"1-3 public sector","432 Stores and transport clerks","men","55-64 years",27600,28600,29500,30200,30800
"1-3 public sector","432 Stores and transport clerks","men","65-66 years",24700,23900,25800,30100,29100
"1-3 public sector","432 Stores and transport clerks","women","18-24 years",22400,21500,22300,23700,23400
"1-3 public sector","432 Stores and transport clerks","women","25-34 years",28300,28600,29000,28300,28600
"1-3 public sector","432 Stores and transport clerks","women","35-44 years",29500,30600,30100,29900,30100
"1-3 public sector","432 Stores and transport clerks","women","45-54 years",29200,29200,29200,29900,30400
"1-3 public sector","432 Stores and transport clerks","women","55-64 years",27700,28600,28600,28900,29000
"1-3 public sector","432 Stores and transport clerks","women","65-66 years",..,22900,..,28300,28600
"1-3 public sector","441 Library and filing clerks","men","18-24 years",20000,20500,22000,22500,22000
"1-3 public sector","441 Library and filing clerks","men","25-34 years",22300,22500,23500,23900,24300
"1-3 public sector","441 Library and filing clerks","men","35-44 years",23600,24100,24900,25300,25800
"1-3 public sector","441 Library and filing clerks","men","45-54 years",24300,25100,25500,25800,26300
"1-3 public sector","441 Library and filing clerks","men","55-64 years",24000,24500,25200,25900,26400
"1-3 public sector","441 Library and filing clerks","men","65-66 years",23700,24200,25200,26900,26200
"1-3 public sector","441 Library and filing clerks","women","18-24 years",20400,21200,21800,22400,23000
"1-3 public sector","441 Library and filing clerks","women","25-34 years",22900,23300,23800,24300,24800
"1-3 public sector","441 Library and filing clerks","women","35-44 years",23500,23900,24600,25200,25900
"1-3 public sector","441 Library and filing clerks","women","45-54 years",23800,24400,25100,25500,26100
"1-3 public sector","441 Library and filing clerks","women","55-64 years",24000,24500,25000,25700,26400
"1-3 public sector","441 Library and filing clerks","women","65-66 years",23800,25200,25800,26000,26400
"1-3 public sector","442 Postmen and postal facility workers","men","18-24 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","men","25-34 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","men","35-44 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","men","45-54 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","men","55-64 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","men","65-66 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","women","18-24 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","women","25-34 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","women","35-44 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","women","45-54 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","women","55-64 years",..,..,..,..,..
"1-3 public sector","442 Postmen and postal facility workers","women","65-66 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","men","18-24 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","men","25-34 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","men","35-44 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","men","45-54 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","men","55-64 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","men","65-66 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","women","18-24 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","women","25-34 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","women","35-44 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","women","45-54 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","women","55-64 years",..,..,..,..,..
"1-3 public sector","443 Elected representatives","women","65-66 years",..,..,..,..,..
"1-3 public sector","511 Cabin crew, guides and related workers","men","18-24 years",32300,31800,30500,30200,28400
"1-3 public sector","511 Cabin crew, guides and related workers","men","25-34 years",27300,29000,27100,25100,26100
"1-3 public sector","511 Cabin crew, guides and related workers","men","35-44 years",26600,26600,27800,26300,25600
"1-3 public sector","511 Cabin crew, guides and related workers","men","45-54 years",25200,26000,28200,27100,28100
"1-3 public sector","511 Cabin crew, guides and related workers","men","55-64 years",29900,26800,27400,29000,29300
"1-3 public sector","511 Cabin crew, guides and related workers","men","65-66 years",..,..,..,..,..
"1-3 public sector","511 Cabin crew, guides and related workers","women","18-24 years",32800,33200,29400,27300,27200
"1-3 public sector","511 Cabin crew, guides and related workers","women","25-34 years",28200,28700,26200,27100,24900
"1-3 public sector","511 Cabin crew, guides and related workers","women","35-44 years",27900,27100,27100,26400,27700
"1-3 public sector","511 Cabin crew, guides and related workers","women","45-54 years",29300,27500,27700,27000,25100
"1-3 public sector","511 Cabin crew, guides and related workers","women","55-64 years",26400,26000,25300,26300,27100
"1-3 public sector","511 Cabin crew, guides and related workers","women","65-66 years",..,..,..,..,27100
"1-3 public sector","512 Cooks and cold-buffet managers","men","18-24 years",21200,22000,22500,23500,24000
"1-3 public sector","512 Cooks and cold-buffet managers","men","25-34 years",23700,24200,24900,25200,26000
"1-3 public sector","512 Cooks and cold-buffet managers","men","35-44 years",25100,25600,26000,26700,27200
"1-3 public sector","512 Cooks and cold-buffet managers","men","45-54 years",25200,26200,26600,27300,27800
"1-3 public sector","512 Cooks and cold-buffet managers","men","55-64 years",24800,25500,26200,26900,27500
"1-3 public sector","512 Cooks and cold-buffet managers","men","65-66 years",24800,24700,25200,26600,27200
"1-3 public sector","512 Cooks and cold-buffet managers","women","18-24 years",21500,22200,22900,23600,23900
"1-3 public sector","512 Cooks and cold-buffet managers","women","25-34 years",22900,23500,24100,24700,25300
"1-3 public sector","512 Cooks and cold-buffet managers","women","35-44 years",23800,24400,24900,25500,25900
"1-3 public sector","512 Cooks and cold-buffet managers","women","45-54 years",24300,24900,25500,26000,26500
"1-3 public sector","512 Cooks and cold-buffet managers","women","55-64 years",24500,25200,25700,26300,26800
"1-3 public sector","512 Cooks and cold-buffet managers","women","65-66 years",24300,24700,25500,26200,26900
"1-3 public sector","513 Waiters and bartenders","men","18-24 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","men","25-34 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","men","35-44 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","men","45-54 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","men","55-64 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","men","65-66 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","women","18-24 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","women","25-34 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","women","35-44 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","women","45-54 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","women","55-64 years",..,..,..,..,..
"1-3 public sector","513 Waiters and bartenders","women","65-66 years",..,..,..,..,..
"1-3 public sector","514 Hairdressers, beauty and body therapists","men","18-24 years",..,..,..,..,..
"1-3 public sector","514 Hairdressers, beauty and body therapists","men","25-34 years",..,..,..,..,..
"1-3 public sector","514 Hairdressers, beauty and body therapists","men","35-44 years",..,..,..,..,..
"1-3 public sector","514 Hairdressers, beauty and body therapists","men","45-54 years",25700,..,..,28700,29500
"1-3 public sector","514 Hairdressers, beauty and body therapists","men","55-64 years",..,..,..,..,..
"1-3 public sector","514 Hairdressers, beauty and body therapists","men","65-66 years",..,..,..,..,..
"1-3 public sector","514 Hairdressers, beauty and body therapists","women","18-24 years",..,..,..,..,23500
"1-3 public sector","514 Hairdressers, beauty and body therapists","women","25-34 years",24300,24900,24700,25600,26300
"1-3 public sector","514 Hairdressers, beauty and body therapists","women","35-44 years",24300,25000,25600,26100,26700
"1-3 public sector","514 Hairdressers, beauty and body therapists","women","45-54 years",25100,25500,26100,26900,27500
"1-3 public sector","514 Hairdressers, beauty and body therapists","women","55-64 years",25200,25900,26600,27500,28100
"1-3 public sector","514 Hairdressers, beauty and body therapists","women","65-66 years",25900,25700,26400,..,29000
"1-3 public sector","515 Building caretakers and related workers","men","18-24 years",20500,21300,22000,22500,22500
"1-3 public sector","515 Building caretakers and related workers","men","25-34 years",22900,23500,23900,24600,25100
"1-3 public sector","515 Building caretakers and related workers","men","35-44 years",24400,25100,25500,26100,26800
"1-3 public sector","515 Building caretakers and related workers","men","45-54 years",24700,25300,25900,26500,27100
"1-3 public sector","515 Building caretakers and related workers","men","55-64 years",24600,25200,25800,26400,27000
"1-3 public sector","515 Building caretakers and related workers","men","65-66 years",24600,25100,25600,26400,27000
"1-3 public sector","515 Building caretakers and related workers","women","18-24 years",20800,21700,22000,22000,22300
"1-3 public sector","515 Building caretakers and related workers","women","25-34 years",22000,22300,23200,23400,24100
"1-3 public sector","515 Building caretakers and related workers","women","35-44 years",23600,23900,24600,25100,25500
"1-3 public sector","515 Building caretakers and related workers","women","45-54 years",23800,24500,24700,25400,25800
"1-3 public sector","515 Building caretakers and related workers","women","55-64 years",23900,24700,25200,25300,25600
"1-3 public sector","515 Building caretakers and related workers","women","65-66 years",24500,23600,23900,24800,25600
"1-3 public sector","516 Other service related workers","men","18-24 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","men","25-34 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","men","35-44 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","men","45-54 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","men","55-64 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","men","65-66 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","women","18-24 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","women","25-34 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","women","35-44 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","women","45-54 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","women","55-64 years",..,..,..,..,..
"1-3 public sector","516 Other service related workers","women","65-66 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","men","18-24 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","men","25-34 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","men","35-44 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","men","45-54 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","men","55-64 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","men","65-66 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","women","18-24 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","women","25-34 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","women","35-44 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","women","45-54 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","women","55-64 years",..,..,..,..,..
"1-3 public sector","522 Shop staff","women","65-66 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","men","18-24 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","men","25-34 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","men","35-44 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","men","45-54 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","men","55-64 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","men","65-66 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","women","18-24 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","women","25-34 years",22300,22900,23600,25500,25700
"1-3 public sector","523 Cashiers and related clerks","women","35-44 years",..,26000,..,..,26600
"1-3 public sector","523 Cashiers and related clerks","women","45-54 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","women","55-64 years",..,..,..,..,..
"1-3 public sector","523 Cashiers and related clerks","women","65-66 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","men","18-24 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","men","25-34 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","men","35-44 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","men","45-54 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","men","55-64 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","men","65-66 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","women","18-24 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","women","25-34 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","women","35-44 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","women","45-54 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","women","55-64 years",..,..,..,..,..
"1-3 public sector","524 Event seller and telemarketers","women","65-66 years",..,..,..,..,..
"1-3 public sector","531 Child care workers and teachers aides","men","18-24 years",19000,19500,20100,20700,21200
"1-3 public sector","531 Child care workers and teachers aides","men","25-34 years",21000,21600,22100,22700,23300
"1-3 public sector","531 Child care workers and teachers aides","men","35-44 years",22900,23400,24000,24500,25100
"1-3 public sector","531 Child care workers and teachers aides","men","45-54 years",23600,24400,24800,25400,25900
"1-3 public sector","531 Child care workers and teachers aides","men","55-64 years",24000,24900,25500,26200,26200
"1-3 public sector","531 Child care workers and teachers aides","men","65-66 years",24900,26600,27400,28000,27100
"1-3 public sector","531 Child care workers and teachers aides","women","18-24 years",18900,19500,20000,20600,21000
"1-3 public sector","531 Child care workers and teachers aides","women","25-34 years",20700,21200,21700,22300,22800
"1-3 public sector","531 Child care workers and teachers aides","women","35-44 years",22300,22800,23200,23700,24100
"1-3 public sector","531 Child care workers and teachers aides","women","45-54 years",23300,23900,24300,24800,25200
"1-3 public sector","531 Child care workers and teachers aides","women","55-64 years",23700,24400,24900,25500,25900
"1-3 public sector","531 Child care workers and teachers aides","women","65-66 years",23600,24200,24900,25500,26100
"1-3 public sector","532 Personal care workers in health services","men","18-24 years",23000,23800,24700,25400,25900
"1-3 public sector","532 Personal care workers in health services","men","25-34 years",24400,25000,26000,26400,26800
"1-3 public sector","532 Personal care workers in health services","men","35-44 years",25700,26300,27300,27800,28100
"1-3 public sector","532 Personal care workers in health services","men","45-54 years",26400,27100,28100,28600,29100
"1-3 public sector","532 Personal care workers in health services","men","55-64 years",26900,27600,28600,29300,29900
