"sector","occupational group (SSYK)","sex","age","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0 all sectors","245 Writers and creative or performing artists","women","35-44 years",28700,30200,31300,29900,31800,32600,32900,33900,34700,34900
"0 all sectors","245 Writers and creative or performing artists","women","45-54 years",28200,29300,29300,29900,31100,32200,33100,33800,34800,36300
"0 all sectors","245 Writers and creative or performing artists","women","55-64 years",28200,29400,28200,29800,30500,31800,32200,33500,34600,34900
"0 all sectors","246 Religious professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","246 Religious professionals","men","25-34 years",24800,25100,26500,26900,27300,28400,28300,29600,..,31800
"0 all sectors","246 Religious professionals","men","35-44 years",27800,28600,29700,30700,31500,32700,33300,32200,34300,37000
"0 all sectors","246 Religious professionals","men","45-54 years",29900,31100,32600,32700,33400,34300,35900,34900,37500,37800
"0 all sectors","246 Religious professionals","men","55-64 years",32200,32800,34300,35200,36500,37800,39100,39800,40700,42400
"0 all sectors","246 Religious professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","246 Religious professionals","women","25-34 years",24400,24800,25600,26000,27200,28100,28600,30200,30700,31800
"0 all sectors","246 Religious professionals","women","35-44 years",26700,27500,28500,29400,31000,31700,32700,33800,34600,35600
"0 all sectors","246 Religious professionals","women","45-54 years",28200,29500,30300,31300,31800,33900,34200,35000,36800,38000
"0 all sectors","246 Religious professionals","women","55-64 years",29800,30300,31900,33100,34200,35900,37000,38000,39000,40200
"0 all sectors","247 Public service administrative professionals","men","18-24 years",..,..,18400,19500,..,..,..,..,23700,24400
"0 all sectors","247 Public service administrative professionals","men","25-34 years",24300,24800,25100,25900,27600,28600,29200,29600,30400,31100
"0 all sectors","247 Public service administrative professionals","men","35-44 years",28200,28500,29200,30500,32700,33500,34300,34900,35900,36800
"0 all sectors","247 Public service administrative professionals","men","45-54 years",29400,30200,31000,31800,34300,35400,36300,37100,38400,39300
"0 all sectors","247 Public service administrative professionals","men","55-64 years",30300,31200,32300,33300,36000,37100,37900,38800,39700,40600
"0 all sectors","247 Public service administrative professionals","women","18-24 years",17900,18800,19100,19500,21700,22700,22500,23000,24000,24300
"0 all sectors","247 Public service administrative professionals","women","25-34 years",23300,23800,24200,25200,26600,27500,28100,28500,29300,29900
"0 all sectors","247 Public service administrative professionals","women","35-44 years",25700,26100,26800,27900,30000,31100,32000,32700,33600,34500
"0 all sectors","247 Public service administrative professionals","women","45-54 years",26200,26900,27600,28700,30700,31800,32900,33800,34700,35800
"0 all sectors","247 Public service administrative professionals","women","55-64 years",26300,27000,27900,29000,30900,32100,33100,34100,35100,36200
"0 all sectors","248 Administrative professionals of special-interest organisations","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","248 Administrative professionals of special-interest organisations","men","25-34 years",26900,27500,28700,28800,30100,29700,30900,29500,29300,30800
"0 all sectors","248 Administrative professionals of special-interest organisations","men","35-44 years",30400,31500,31400,33200,35100,34900,37600,34800,36400,36600
"0 all sectors","248 Administrative professionals of special-interest organisations","men","45-54 years",30700,32300,32200,34800,37500,37300,39500,39100,38400,40800
"0 all sectors","248 Administrative professionals of special-interest organisations","men","55-64 years",33400,33900,34400,36200,35800,35200,37500,39800,42000,38200
"0 all sectors","248 Administrative professionals of special-interest organisations","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","248 Administrative professionals of special-interest organisations","women","25-34 years",25400,25400,25800,27000,28500,28000,29100,29700,29800,32400
"0 all sectors","248 Administrative professionals of special-interest organisations","women","35-44 years",27700,29100,29600,29800,30000,30600,30800,31400,32600,32500
"0 all sectors","248 Administrative professionals of special-interest organisations","women","45-54 years",27800,29400,29800,30500,31400,32800,33000,34200,34000,35900
"0 all sectors","248 Administrative professionals of special-interest organisations","women","55-64 years",29200,29900,29900,30000,31900,31800,32000,33800,33700,35500
"0 all sectors","249 Psychologists, social work and related professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","249 Psychologists, social work and related professionals","men","25-34 years",22400,22900,23400,24200,25100,26000,26400,27500,29300,28400
"0 all sectors","249 Psychologists, social work and related professionals","men","35-44 years",23500,24600,25600,26000,27100,27800,28500,29500,29900,30800
"0 all sectors","249 Psychologists, social work and related professionals","men","45-54 years",25400,25900,27100,27400,28400,29900,29800,30500,31300,32400
"0 all sectors","249 Psychologists, social work and related professionals","men","55-64 years",26800,27100,27900,28500,29400,30600,33600,31800,32300,33700
"0 all sectors","249 Psychologists, social work and related professionals","women","18-24 years",19500,19800,20300,20900,21700,22400,22400,23000,23500,24400
"0 all sectors","249 Psychologists, social work and related professionals","women","25-34 years",21700,22300,22700,23300,24300,25200,25600,26200,27100,28200
"0 all sectors","249 Psychologists, social work and related professionals","women","35-44 years",23100,23700,24700,25000,26100,26900,27700,28400,29600,30300
"0 all sectors","249 Psychologists, social work and related professionals","women","45-54 years",24600,25100,25900,26500,27600,28500,28900,29800,30500,31600
"0 all sectors","249 Psychologists, social work and related professionals","women","55-64 years",25400,26100,27100,27500,29000,29900,30600,31300,32400,33400
"0 all sectors","311 Physical and engineering science technicians","men","18-24 years",20100,19200,20500,21700,22300,23400,23500,24300,24700,26300
"0 all sectors","311 Physical and engineering science technicians","men","25-34 years",25700,26200,27300,27900,29400,29600,29900,30900,31700,31800
"0 all sectors","311 Physical and engineering science technicians","men","35-44 years",28200,29300,29800,30900,32800,33500,33900,35300,36600,37300
"0 all sectors","311 Physical and engineering science technicians","men","45-54 years",28200,29500,30300,31200,33200,33700,34800,37100,37100,37500
"0 all sectors","311 Physical and engineering science technicians","men","55-64 years",28200,28900,29700,30800,32900,33800,34600,35600,36400,38100
"0 all sectors","311 Physical and engineering science technicians","women","18-24 years",18200,19700,20700,21000,22400,23200,24000,21900,23200,24200
"0 all sectors","311 Physical and engineering science technicians","women","25-34 years",24300,25100,26000,26300,28000,28800,29000,29800,30600,30800
"0 all sectors","311 Physical and engineering science technicians","women","35-44 years",25300,25900,27300,28200,30200,31200,32000,33100,34400,35300
"0 all sectors","311 Physical and engineering science technicians","women","45-54 years",24100,25300,26200,27400,30200,30700,31800,32700,34500,35100
"0 all sectors","311 Physical and engineering science technicians","women","55-64 years",22700,24000,24400,25600,26700,27300,28100,29700,30900,32100
"0 all sectors","312 Computer associate professionals","men","18-24 years",18400,19200,18300,19000,19700,20000,21500,22400,22900,22200
"0 all sectors","312 Computer associate professionals","men","25-34 years",25000,26000,26700,27800,27900,28300,29300,29200,29500,29700
"0 all sectors","312 Computer associate professionals","men","35-44 years",28700,29500,31900,31300,32000,33200,33800,34600,35600,36700
"0 all sectors","312 Computer associate professionals","men","45-54 years",29600,30300,32500,32500,33100,34000,34600,35800,37000,37600
"0 all sectors","312 Computer associate professionals","men","55-64 years",29500,30100,31700,33000,32800,34100,34100,35900,36200,37500
"0 all sectors","312 Computer associate professionals","women","18-24 years",17500,18000,17600,18200,18500,19300,21100,20400,21600,20800
"0 all sectors","312 Computer associate professionals","women","25-34 years",23500,23200,24500,25300,26200,25900,26600,26900,27600,28600
"0 all sectors","312 Computer associate professionals","women","35-44 years",25600,26100,27700,28600,29600,30100,30400,30900,32100,32600
"0 all sectors","312 Computer associate professionals","women","45-54 years",25300,25100,28400,28700,28700,29900,31600,32700,33800,34300
"0 all sectors","312 Computer associate professionals","women","55-64 years",25100,25900,26700,28000,28000,30100,31500,32400,31600,33100
"0 all sectors","313 Optical and electronic equipment operators","men","18-24 years",..,..,18100,..,..,..,20900,19300,21300,21600
"0 all sectors","313 Optical and electronic equipment operators","men","25-34 years",22400,23200,23500,24200,25800,25500,26000,27600,26100,25100
"0 all sectors","313 Optical and electronic equipment operators","men","35-44 years",..,..,26400,26700,27900,27800,29500,28700,28800,31100
"0 all sectors","313 Optical and electronic equipment operators","men","45-54 years",26900,24900,26600,27000,27400,28800,31000,29400,30800,30400
"0 all sectors","313 Optical and electronic equipment operators","men","55-64 years",24600,26500,25600,25700,28200,29500,30400,29500,30600,30600
"0 all sectors","313 Optical and electronic equipment operators","women","18-24 years",..,..,..,..,..,..,20600,..,..,21400
"0 all sectors","313 Optical and electronic equipment operators","women","25-34 years",20000,20600,21500,22300,23700,24000,24900,26500,26600,27700
"0 all sectors","313 Optical and electronic equipment operators","women","35-44 years",22800,23800,24500,23600,25000,25700,28300,28200,26000,29900
"0 all sectors","313 Optical and electronic equipment operators","women","45-54 years",21600,23300,25000,24400,28000,27500,28600,29700,30100,30200
"0 all sectors","313 Optical and electronic equipment operators","women","55-64 years",21800,21900,22600,23700,26200,26800,27200,28800,28700,30800
"0 all sectors","314 Ship and aircraft controllers and technicians","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","314 Ship and aircraft controllers and technicians","men","25-34 years",30700,33300,32600,32400,33100,..,33600,35900,37000,40100
"0 all sectors","314 Ship and aircraft controllers and technicians","men","35-44 years",48700,47300,44300,47500,46700,50400,46900,46700,47400,49500
"0 all sectors","314 Ship and aircraft controllers and technicians","men","45-54 years",48100,49200,48100,51700,55100,..,55000,58200,58800,57300
"0 all sectors","314 Ship and aircraft controllers and technicians","men","55-64 years",43900,47900,43700,..,49100,52400,46500,51200,53000,52200
"0 all sectors","314 Ship and aircraft controllers and technicians","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","314 Ship and aircraft controllers and technicians","women","25-34 years",31200,34100,36000,36400,..,..,37900,..,..,..
"0 all sectors","314 Ship and aircraft controllers and technicians","women","35-44 years",45500,..,..,49300,53600,55700,56500,55300,58200,59700
"0 all sectors","314 Ship and aircraft controllers and technicians","women","45-54 years",..,..,..,..,..,..,65100,67200,72900,70500
"0 all sectors","314 Ship and aircraft controllers and technicians","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","315 Safety and quality inspectors","men","18-24 years",..,..,..,..,..,..,..,..,24400,25600
"0 all sectors","315 Safety and quality inspectors","men","25-34 years",21800,23800,25300,23800,26300,27600,27600,29800,30300,30600
"0 all sectors","315 Safety and quality inspectors","men","35-44 years",24000,26000,26400,28000,29800,30400,30500,32100,32700,34500
"0 all sectors","315 Safety and quality inspectors","men","45-54 years",27500,28700,28400,29700,31500,33000,32800,36100,34900,38400
"0 all sectors","315 Safety and quality inspectors","men","55-64 years",27000,28100,28700,29400,32200,33900,32800,35100,..,38700
"0 all sectors","315 Safety and quality inspectors","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","315 Safety and quality inspectors","women","25-34 years",25500,25900,26600,26200,27500,28700,29700,30800,31500,31200
"0 all sectors","315 Safety and quality inspectors","women","35-44 years",26600,27200,28700,28800,30100,30800,32900,34400,32100,36200
"0 all sectors","315 Safety and quality inspectors","women","45-54 years",27200,28300,28300,29900,31500,32300,33000,34700,34700,35900
"0 all sectors","315 Safety and quality inspectors","women","55-64 years",27700,28900,29600,30300,31500,31900,32800,33800,34500,35700
"0 all sectors","321 Agronomy and forestry technicians","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","321 Agronomy and forestry technicians","men","25-34 years",22300,23100,23800,25200,26300,27300,27700,29700,29900,29900
"0 all sectors","321 Agronomy and forestry technicians","men","35-44 years",24100,25100,25700,27100,28900,30600,31900,32900,33500,34100
"0 all sectors","321 Agronomy and forestry technicians","men","45-54 years",25800,25700,27200,28800,29900,31300,32900,34900,34900,34600
"0 all sectors","321 Agronomy and forestry technicians","men","55-64 years",23500,24800,25700,27800,29100,30000,31100,32400,34100,34000
"0 all sectors","321 Agronomy and forestry technicians","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","321 Agronomy and forestry technicians","women","25-34 years",21700,21800,26000,23900,25000,26900,27600,28100,28500,29500
"0 all sectors","321 Agronomy and forestry technicians","women","35-44 years",..,..,..,..,27400,27800,29000,30100,31500,32700
"0 all sectors","321 Agronomy and forestry technicians","women","45-54 years",..,..,..,..,25900,28300,27900,29900,32200,..
"0 all sectors","321 Agronomy and forestry technicians","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","322 Health associate professionals (except nursing)","men","18-24 years",..,..,..,..,..,..,..,22600,23500,23800
"0 all sectors","322 Health associate professionals (except nursing)","men","25-34 years",21600,23100,22500,23800,24000,25500,25200,26600,26700,26800
"0 all sectors","322 Health associate professionals (except nursing)","men","35-44 years",24200,27300,26200,26000,26400,27400,28600,30000,30000,31700
"0 all sectors","322 Health associate professionals (except nursing)","men","45-54 years",25000,26500,27700,28100,28000,28000,28500,30800,32000,31400
"0 all sectors","322 Health associate professionals (except nursing)","men","55-64 years",25300,26300,27500,28800,30100,29500,30000,30600,31700,32600
"0 all sectors","322 Health associate professionals (except nursing)","women","18-24 years",18900,19700,19100,21200,20600,21600,22100,22400,23100,23600
"0 all sectors","322 Health associate professionals (except nursing)","women","25-34 years",21200,21700,22000,22800,23500,24100,24700,25200,26100,26700
"0 all sectors","322 Health associate professionals (except nursing)","women","35-44 years",22700,23100,23100,24600,24900,26000,26300,27400,27600,28200
"0 all sectors","322 Health associate professionals (except nursing)","women","45-54 years",23500,24500,24600,25600,26700,26800,27600,28400,28900,29400
"0 all sectors","322 Health associate professionals (except nursing)","women","55-64 years",24500,25100,26000,26500,27300,27900,29000,29100,30300,30800
"0 all sectors","323 Nursing associate professionals","men","18-24 years",..,20800,20800,21500,22800,23600,23700,24200,24600,25800
"0 all sectors","323 Nursing associate professionals","men","25-34 years",22700,23300,23300,23900,24900,25600,25900,26600,27200,28100
"0 all sectors","323 Nursing associate professionals","men","35-44 years",24900,25100,25500,26300,28300,28900,28800,29500,30600,31600
"0 all sectors","323 Nursing associate professionals","men","45-54 years",25600,26100,26300,27200,28500,29500,30100,30900,31600,33000
"0 all sectors","323 Nursing associate professionals","men","55-64 years",25700,26300,26500,27400,28900,29800,30700,31500,32500,33600
"0 all sectors","323 Nursing associate professionals","women","18-24 years",20200,20400,20900,21200,22500,23300,23500,24000,24400,25400
"0 all sectors","323 Nursing associate professionals","women","25-34 years",22300,22600,22700,23500,24500,25300,25400,26100,26700,27700
"0 all sectors","323 Nursing associate professionals","women","35-44 years",23800,24600,24600,25200,26400,27400,27900,28500,29100,29900
"0 all sectors","323 Nursing associate professionals","women","45-54 years",24800,25400,25700,26500,27900,28800,29500,30200,31000,31900
"0 all sectors","323 Nursing associate professionals","women","55-64 years",25000,25600,26100,26900,28300,29400,30200,30800,31700,32700
"0 all sectors","324 Life science technicians","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","324 Life science technicians","men","25-34 years",20600,21300,21700,23600,22600,23600,23700,24800,25200,25300
"0 all sectors","324 Life science technicians","men","35-44 years",21800,22500,24700,..,24500,25100,25900,26500,28000,28800
"0 all sectors","324 Life science technicians","men","45-54 years",21800,22700,23600,24300,25400,26200,27000,27800,28500,29300
"0 all sectors","324 Life science technicians","men","55-64 years",..,..,24700,24600,26100,26600,27700,28200,28900,30100
"0 all sectors","324 Life science technicians","women","18-24 years",18100,19600,18300,18700,20400,21100,21200,21700,22400,22400
"0 all sectors","324 Life science technicians","women","25-34 years",20200,22200,22400,24000,22700,23300,23400,24800,24900,25300
"0 all sectors","324 Life science technicians","women","35-44 years",21500,22300,23000,23400,24100,25100,25500,26300,26800,27800
"0 all sectors","324 Life science technicians","women","45-54 years",22100,22900,23900,24400,25400,26200,26700,27700,28300,29100
"0 all sectors","324 Life science technicians","women","55-64 years",21800,22600,23400,24100,25400,26500,27200,28300,28900,29800
"0 all sectors","331 Pre-primary education teaching associate professionals","men","18-24 years",15500,15800,16300,16900,17500,17700,18000,18600,19000,19400
"0 all sectors","331 Pre-primary education teaching associate professionals","men","25-34 years",18600,19300,19900,20600,21300,22000,22100,22500,22600,23600
"0 all sectors","331 Pre-primary education teaching associate professionals","men","35-44 years",19900,20500,21000,21800,22700,23400,23800,24100,24500,25900
"0 all sectors","331 Pre-primary education teaching associate professionals","men","45-54 years",20600,21400,22000,22500,23400,24200,24600,25100,25400,26600
"0 all sectors","331 Pre-primary education teaching associate professionals","men","55-64 years",21000,21500,22100,22900,23800,24600,25100,25700,26100,27400
"0 all sectors","331 Pre-primary education teaching associate professionals","women","18-24 years",16500,17000,17500,18200,18900,19400,19200,19600,19700,20300
"0 all sectors","331 Pre-primary education teaching associate professionals","women","25-34 years",18800,19300,19900,20500,21400,22100,22400,22900,23100,24400
"0 all sectors","331 Pre-primary education teaching associate professionals","women","35-44 years",19800,20300,20900,21500,22500,23300,23700,24200,24500,25900
"0 all sectors","331 Pre-primary education teaching associate professionals","women","45-54 years",20800,21300,21900,22500,23400,24300,24800,25200,25600,27000
"0 all sectors","331 Pre-primary education teaching associate professionals","women","55-64 years",21500,22100,22600,23300,24000,24900,25400,25900,26200,27600
"0 all sectors","332 Other teaching associate professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","332 Other teaching associate professionals","men","25-34 years",21800,22500,21500,23200,22700,22800,25000,23700,23400,23700
"0 all sectors","332 Other teaching associate professionals","men","35-44 years",24300,23200,..,24100,23800,27800,26100,27800,30800,27600
"0 all sectors","332 Other teaching associate professionals","men","45-54 years",22900,23800,23100,25000,25100,25700,27100,26800,26900,28500
"0 all sectors","332 Other teaching associate professionals","men","55-64 years",23200,25700,22700,25200,..,26400,27000,27300,27100,25300
"0 all sectors","332 Other teaching associate professionals","women","18-24 years",..,..,..,..,..,..,..,21900,20200,21300
"0 all sectors","332 Other teaching associate professionals","women","25-34 years",20400,19700,22900,22300,21200,23100,..,24800,24800,24800
"0 all sectors","332 Other teaching associate professionals","women","35-44 years",22100,22000,22400,23800,24600,24700,25100,24400,25600,27900
"0 all sectors","332 Other teaching associate professionals","women","45-54 years",21700,24000,23400,24200,24700,26700,26800,26400,27100,27700
"0 all sectors","332 Other teaching associate professionals","women","55-64 years",23900,26600,23400,24100,26400,24900,25600,25800,24300,26600
"0 all sectors","341 Finance and sales associate professionals","men","18-24 years",20300,21300,21100,20800,22700,22900,23300,23300,25500,24900
"0 all sectors","341 Finance and sales associate professionals","men","25-34 years",28500,29600,30000,31300,32100,31800,33100,33600,34200,35100
"0 all sectors","341 Finance and sales associate professionals","men","35-44 years",33000,34700,36300,38100,38400,39900,40700,41600,42700,42200
"0 all sectors","341 Finance and sales associate professionals","men","45-54 years",33300,34500,36200,37800,39800,40800,41100,41200,43200,44300
"0 all sectors","341 Finance and sales associate professionals","men","55-64 years",31200,31700,32700,34400,36600,36400,37400,39600,39300,40500
"0 all sectors","341 Finance and sales associate professionals","women","18-24 years",18100,20300,19200,19800,21000,21300,21200,21500,22600,22400
"0 all sectors","341 Finance and sales associate professionals","women","25-34 years",23800,25000,26000,27000,27900,28200,28400,28600,29800,30400
"0 all sectors","341 Finance and sales associate professionals","women","35-44 years",26100,27700,29200,30500,31200,32200,32300,33400,34400,35200
"0 all sectors","341 Finance and sales associate professionals","women","45-54 years",25900,27900,29100,30500,31700,32400,32700,34100,35800,37000
"0 all sectors","341 Finance and sales associate professionals","women","55-64 years",25000,26400,27000,28400,29300,30400,31500,31500,32600,34300
"0 all sectors","342 Business services agents and trade brokers","men","18-24 years",..,..,17800,..,..,..,24100,..,23900,24400
"0 all sectors","342 Business services agents and trade brokers","men","25-34 years",23600,..,23100,24300,25900,27600,27500,27500,28800,28300
"0 all sectors","342 Business services agents and trade brokers","men","35-44 years",25600,25200,26300,26700,29800,28900,29800,30200,30700,30800
"0 all sectors","342 Business services agents and trade brokers","men","45-54 years",25300,25900,27800,27400,28700,28600,29400,29400,32300,31600
"0 all sectors","342 Business services agents and trade brokers","men","55-64 years",24700,26100,27400,28900,28100,29000,31000,30300,31800,31800
"0 all sectors","342 Business services agents and trade brokers","women","18-24 years",..,..,17900,17800,19100,..,23100,24300,22600,23700
"0 all sectors","342 Business services agents and trade brokers","women","25-34 years",20600,20700,21700,23400,24100,25200,25600,26300,26900,26900
"0 all sectors","342 Business services agents and trade brokers","women","35-44 years",22400,23000,24500,25600,25600,26800,27100,28100,28900,30100
"0 all sectors","342 Business services agents and trade brokers","women","45-54 years",23200,23600,24100,24500,25300,27100,27900,28900,29300,30400
"0 all sectors","342 Business services agents and trade brokers","women","55-64 years",22800,23100,24800,26200,25400,27100,28100,28800,29700,30500
"0 all sectors","343 Administrative associate professionals","men","18-24 years",19300,17800,19400,19000,20000,20400,21900,22300,22700,21600
"0 all sectors","343 Administrative associate professionals","men","25-34 years",23700,24700,25600,25700,27300,27800,28300,28500,28500,29600
"0 all sectors","343 Administrative associate professionals","men","35-44 years",28000,27700,29300,29800,32500,33100,33700,34700,36500,35800
"0 all sectors","343 Administrative associate professionals","men","45-54 years",28400,28500,29000,29100,31900,33900,35100,34100,37100,38300
"0 all sectors","343 Administrative associate professionals","men","55-64 years",28500,29100,29800,29000,31600,31500,32500,33200,35100,35800
"0 all sectors","343 Administrative associate professionals","women","18-24 years",17900,18600,18900,19400,19900,20400,20600,21900,21800,23100
"0 all sectors","343 Administrative associate professionals","women","25-34 years",22400,23000,23400,24400,25100,26200,26500,27100,27100,28100
"0 all sectors","343 Administrative associate professionals","women","35-44 years",23800,24700,25400,25900,27200,27600,28500,29600,30600,31400
"0 all sectors","343 Administrative associate professionals","women","45-54 years",23300,24000,25400,25900,26700,27700,28300,28800,30600,32200
"0 all sectors","343 Administrative associate professionals","women","55-64 years",23400,24100,24700,25000,25700,26800,27600,28600,29300,30100
"0 all sectors","344 Customs, tax and related government associate professionals","men","18-24 years",17000,..,18300,..,..,..,19800,20300,21900,23100
"0 all sectors","344 Customs, tax and related government associate professionals","men","25-34 years",20300,20300,21300,22600,23400,24200,25000,25700,26100,26600
"0 all sectors","344 Customs, tax and related government associate professionals","men","35-44 years",22800,22800,24100,25300,26100,27000,28900,29500,30200,31000
"0 all sectors","344 Customs, tax and related government associate professionals","men","45-54 years",24800,23000,25400,26700,26600,29300,29300,30300,31300,31800
"0 all sectors","344 Customs, tax and related government associate professionals","men","55-64 years",27200,23600,27100,29100,27300,31200,30400,29900,30800,31500
"0 all sectors","344 Customs, tax and related government associate professionals","women","18-24 years",17200,17700,18700,19400,19500,18800,19700,20600,21800,22300
"0 all sectors","344 Customs, tax and related government associate professionals","women","25-34 years",19500,19500,21000,22100,22800,23400,23900,24300,25000,25400
"0 all sectors","344 Customs, tax and related government associate professionals","women","35-44 years",20300,20000,21800,22800,23400,24600,25300,26100,26800,27500
"0 all sectors","344 Customs, tax and related government associate professionals","women","45-54 years",20600,20000,22000,22900,23200,24600,25400,26000,26900,27700
"0 all sectors","344 Customs, tax and related government associate professionals","women","55-64 years",20600,20000,21900,22900,23100,24800,25300,25800,26500,27400
"0 all sectors","345 Police officers and detectives","men","18-24 years",..,..,..,..,..,17500,19200,20700,..,..
"0 all sectors","345 Police officers and detectives","men","25-34 years",22100,20300,20000,22700,23600,23900,24000,24000,26100,26500
"0 all sectors","345 Police officers and detectives","men","35-44 years",27000,26200,26500,28300,29100,30300,30100,29300,30600,31200
"0 all sectors","345 Police officers and detectives","men","45-54 years",28000,27500,28400,30000,31400,33000,33500,33400,34600,35600
"0 all sectors","345 Police officers and detectives","men","55-64 years",27500,27200,28100,29500,30700,32000,32600,32800,34000,35100
"0 all sectors","345 Police officers and detectives","women","18-24 years",..,..,..,..,19700,19600,20300,20700,..,..
"0 all sectors","345 Police officers and detectives","women","25-34 years",21400,19900,19900,22300,23100,24000,23900,23600,25700,26100
"0 all sectors","345 Police officers and detectives","women","35-44 years",26200,25500,25700,27400,28300,29300,29300,28600,29800,30100
"0 all sectors","345 Police officers and detectives","women","45-54 years",27500,27000,28100,29600,30900,32300,32900,32600,33600,34400
"0 all sectors","345 Police officers and detectives","women","55-64 years",27600,26600,28300,29700,30700,32000,32500,32600,33900,34900
"0 all sectors","346 Social work associate professionals","men","18-24 years",17400,17100,17700,18100,18500,19600,19800,20300,19400,21400
"0 all sectors","346 Social work associate professionals","men","25-34 years",19200,19400,20000,20600,21200,22100,22600,23700,24000,25000
"0 all sectors","346 Social work associate professionals","men","35-44 years",20500,20800,21400,21800,23000,23600,24000,24400,25000,26200
"0 all sectors","346 Social work associate professionals","men","45-54 years",20800,21400,21800,22200,23100,24100,24900,25300,26400,26300
"0 all sectors","346 Social work associate professionals","men","55-64 years",22100,21800,22300,22800,23400,24600,25400,26000,25700,26200
"0 all sectors","346 Social work associate professionals","women","18-24 years",17600,18100,18200,18500,18900,19500,19900,21000,22100,22900
"0 all sectors","346 Social work associate professionals","women","25-34 years",20000,19900,20400,20900,21900,22800,22800,23800,24700,25200
"0 all sectors","346 Social work associate professionals","women","35-44 years",20300,20600,21600,22000,23100,23700,24600,24800,26000,26700
"0 all sectors","346 Social work associate professionals","women","45-54 years",20800,21300,21700,22200,23600,24200,24800,25900,26100,27300
"0 all sectors","346 Social work associate professionals","women","55-64 years",20700,21400,22000,22700,23800,25000,25200,25400,26500,27300
"0 all sectors","347 Artistic, entertainment and sports associate professionals","men","18-24 years",19200,20100,19000,21900,21900,22000,23600,25600,26500,25800
"0 all sectors","347 Artistic, entertainment and sports associate professionals","men","25-34 years",22000,24000,25400,26400,27500,29300,28300,30900,33100,34700
"0 all sectors","347 Artistic, entertainment and sports associate professionals","men","35-44 years",23200,24100,26400,26200,28000,28400,30600,31900,33600,33000
"0 all sectors","347 Artistic, entertainment and sports associate professionals","men","45-54 years",22500,25500,26700,26100,29900,30600,29100,31300,30800,31000
"0 all sectors","347 Artistic, entertainment and sports associate professionals","men","55-64 years",22500,24900,26800,26500,28500,27200,28400,29100,29100,31100
"0 all sectors","347 Artistic, entertainment and sports associate professionals","women","18-24 years",18300,19600,18300,23600,20200,21200,20600,21600,23800,24000
"0 all sectors","347 Artistic, entertainment and sports associate professionals","women","25-34 years",21800,21700,24600,25400,25300,27100,26000,29900,27600,26300
"0 all sectors","347 Artistic, entertainment and sports associate professionals","women","35-44 years",23000,24400,24800,25800,27600,28100,28600,30400,30000,31200
"0 all sectors","347 Artistic, entertainment and sports associate professionals","women","45-54 years",21600,22500,23300,23400,25700,27100,26300,29700,31200,..
"0 all sectors","347 Artistic, entertainment and sports associate professionals","women","55-64 years",23000,24500,23100,25100,25500,25600,27300,27700,27800,28900
"0 all sectors","348 Religious associate professionals","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","men","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","men","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","men","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","women","35-44 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","women","45-54 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","348 Religious associate professionals","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","411 Office secretaries and data entry operators","men","18-24 years",..,..,15400,16700,17400,17800,18200,17300,19600,20100
"0 all sectors","411 Office secretaries and data entry operators","men","25-34 years",18500,21800,21400,21900,24100,23500,23100,23800,25200,25500
"0 all sectors","411 Office secretaries and data entry operators","men","35-44 years",23100,24100,23700,25900,28500,25600,27900,29000,29800,30000
"0 all sectors","411 Office secretaries and data entry operators","men","45-54 years",22600,23300,23000,23900,26100,..,27200,30000,30600,30700
"0 all sectors","411 Office secretaries and data entry operators","men","55-64 years",24300,25700,24300,24800,26400,27300,27300,29200,29000,32400
