"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"242 Legal professionals","45-49 years","men",50800,59000,49100,43200,46900,47800,56200,58100,54900,56900,65200,58700,57900,62000
"242 Legal professionals","45-49 years","women",..,..,..,..,..,..,..,..,51700,54000,55400,58300,51900,56500
"242 Legal professionals","50-54 years","men",51200,51500,47500,48400,54800,53900,56700,56700,64300,61600,66700,56700,..,..
"242 Legal professionals","50-54 years","women",..,..,..,..,..,..,..,..,48000,..,..,58400,63900,..
"242 Legal professionals","55-59 years","men",43200,36000,37900,42300,60700,43300,60800,53100,61700,60500,58200,60800,..,..
"242 Legal professionals","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"242 Legal professionals","60-64 years","men",..,..,..,..,..,..,..,46200,54400,..,..,..,..,..
"242 Legal professionals","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"243 Archivists, librarians and related information professionals","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","50-54 years","women",25700,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"244 Social science and linguistics professionals (except social work professionals)","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"245 Writers and creative or performing artists","18-24 years","men",19800,16700,19700,20600,..,22200,22000,21400,23700,24700,22800,23600,25500,26600
"245 Writers and creative or performing artists","18-24 years","women",17800,22200,18900,19200,22500,22600,21600,21100,22800,24800,23900,24700,25200,25000
"245 Writers and creative or performing artists","25-29 years","men",23400,24000,24400,24500,25800,25300,25500,25200,26100,25900,27100,27800,29500,29400
"245 Writers and creative or performing artists","25-29 years","women",21500,22600,22700,22900,24300,23800,23800,25200,26300,26800,27200,27600,27600,29000
"245 Writers and creative or performing artists","30-34 years","men",24500,25800,26100,28200,28500,28600,30800,30400,31100,31700,32100,31200,32000,34500
"245 Writers and creative or performing artists","30-34 years","women",22300,23100,24700,25700,26500,26800,27000,27300,29600,30600,30200,31600,32100,32900
"245 Writers and creative or performing artists","35-39 years","men",27000,27600,30300,30700,30500,33000,33700,32700,33400,35000,35900,36700,37100,37500
"245 Writers and creative or performing artists","35-39 years","women",24100,24300,24900,26500,27500,30300,32000,30600,32500,32400,32700,34000,34600,33900
"245 Writers and creative or performing artists","40-44 years","men",25700,28100,28300,30900,34100,34600,34600,34400,32800,34000,34700,37200,38500,38200
"245 Writers and creative or performing artists","40-44 years","women",24500,25000,26200,28000,31500,31200,31700,30000,32100,33700,34100,35000,35600,36900
"245 Writers and creative or performing artists","45-49 years","men",27000,29200,30600,30700,31300,33900,34800,35200,33800,36000,35500,36300,36700,38300
"245 Writers and creative or performing artists","45-49 years","women",24800,23700,24700,27400,28900,30500,30000,30400,31100,31900,34000,33700,35400,37000
"245 Writers and creative or performing artists","50-54 years","men",27800,26800,29100,30700,32000,33000,34000,33900,34500,35500,35500,37000,36700,37400
"245 Writers and creative or performing artists","50-54 years","women",24700,26000,27200,24500,28300,29100,29200,30000,31400,33300,32400,34400,34400,36200
"245 Writers and creative or performing artists","55-59 years","men",27700,27600,31100,31200,31700,32300,33600,32000,34400,35300,34800,34800,37200,36600
"245 Writers and creative or performing artists","55-59 years","women",24700,25500,26600,29000,30000,31300,28200,30400,30600,32300,33000,33900,35800,34600
"245 Writers and creative or performing artists","60-64 years","men",26100,28400,27000,30100,32300,34600,32800,35000,34100,36500,34300,34400,33500,36400
"245 Writers and creative or performing artists","60-64 years","women",23200,24600,26200,25400,26200,28200,28700,30100,30800,31900,32100,33600,33700,35700
"246 Religious professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"246 Religious professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"246 Religious professionals","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"246 Religious professionals","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"246 Religious professionals","30-34 years","men",21300,21000,22800,24200,25200,25800,26800,27800,..,..,..,30200,..,32500
"246 Religious professionals","30-34 years","women",..,22500,23700,24500,25000,25400,26400,27400,28000,29000,29300,31200,31800,33000
"246 Religious professionals","35-39 years","men",22800,24500,24200,25300,27600,27800,28700,29400,30400,31700,32400,29900,33200,35500
"246 Religious professionals","35-39 years","women",22500,23800,24600,25100,25900,27000,27600,28500,29800,30900,32000,33300,34100,34600
"246 Religious professionals","40-44 years","men",25000,24400,27100,27000,28000,29300,30500,31600,32300,33400,33900,34300,35300,38000
"246 Religious professionals","40-44 years","women",23200,23500,25500,26700,27400,27800,29100,30100,32000,32500,33300,34300,35000,36300
"246 Religious professionals","45-49 years","men",25500,25400,28000,28900,28900,30800,32100,31100,33600,32900,35100,35200,35700,35100
"246 Religious professionals","45-49 years","women",25300,25400,25100,26100,26900,28600,29400,30900,30400,33400,34000,35400,36800,37400
"246 Religious professionals","50-54 years","men",26700,28400,28500,29600,30700,31200,33000,33900,33300,35900,36600,34800,39300,41200
"246 Religious professionals","50-54 years","women",24900,24700,26900,28600,29500,30300,31200,31700,33400,34300,34400,34500,36700,38600
"246 Religious professionals","55-59 years","men",26800,28900,30400,30600,32200,32700,34200,35100,36300,37500,38700,39200,40100,41600
"246 Religious professionals","55-59 years","women",24900,26200,27400,28900,30100,30500,31900,33000,34100,36000,37200,38200,38600,39700
"246 Religious professionals","60-64 years","men",27500,28400,30000,31200,32300,33000,34400,35400,36600,38000,39500,40400,41300,43000
"246 Religious professionals","60-64 years","women",..,..,..,..,29300,30100,31900,33200,34300,35900,36600,37700,39500,40700
"247 Public service administrative professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","45-49 years","women",..,..,28600,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","50-54 years","women",..,..,26600,27300,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"247 Public service administrative professionals","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"248 Administrative professionals of special-interest organisations","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"248 Administrative professionals of special-interest organisations","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"248 Administrative professionals of special-interest organisations","25-29 years","men",..,..,21800,..,..,..,..,..,..,..,..,..,..,..
"248 Administrative professionals of special-interest organisations","25-29 years","women",19500,20900,21700,22400,23900,24000,23800,25200,25400,26500,25800,..,..,..
"248 Administrative professionals of special-interest organisations","30-34 years","men",23200,24800,27000,28700,28500,28500,29500,29500,31600,30900,32200,30500,31900,35200
"248 Administrative professionals of special-interest organisations","30-34 years","women",23100,23700,24500,26300,26200,26200,27400,28100,30600,28800,31300,30100,30400,33700
"248 Administrative professionals of special-interest organisations","35-39 years","men",26700,26900,28400,30000,29900,31100,31900,32500,34700,34900,37100,34800,35700,33000
"248 Administrative professionals of special-interest organisations","35-39 years","women",23100,25900,25800,28000,26900,28400,29200,29700,29800,31200,30100,31700,33800,30900
"248 Administrative professionals of special-interest organisations","40-44 years","men",29000,30000,28800,30800,31100,32000,31100,34000,35400,34900,37900,34800,37300,40000
"248 Administrative professionals of special-interest organisations","40-44 years","women",24400,23300,34200,28300,28500,30200,30300,30100,30100,30100,31400,31200,31900,34400
"248 Administrative professionals of special-interest organisations","45-49 years","men",29400,29000,30000,31200,29200,31000,31200,35200,36500,37400,37700,38200,39200,42300
"248 Administrative professionals of special-interest organisations","45-49 years","women",25900,24700,27300,27600,28300,28700,29600,29900,31000,33200,33800,35300,33000,35100
"248 Administrative professionals of special-interest organisations","50-54 years","men",29400,30100,31500,32000,32100,32900,33500,34500,38300,37200,41700,40800,37300,38800
"248 Administrative professionals of special-interest organisations","50-54 years","women",26800,26200,26400,28500,27600,29900,29900,31200,31600,32300,31900,32900,35800,37600
"248 Administrative professionals of special-interest organisations","55-59 years","men",29400,30100,31400,33900,34000,34800,34600,36600,35500,34500,37400,41000,43400,36600
"248 Administrative professionals of special-interest organisations","55-59 years","women",26800,25100,25400,29000,29900,30600,31600,30400,31800,31600,32400,32500,35700,36000
"248 Administrative professionals of special-interest organisations","60-64 years","men",30900,33500,31200,30200,32400,32700,34200,35700,36300,36600,37700,38200,40400,..
"248 Administrative professionals of special-interest organisations","60-64 years","women",..,..,..,..,28300,29000,28600,29700,32100,32100,31500,35800,31800,35000
"249 Psychologists, social work and related professionals","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,29900,33700
"249 Psychologists, social work and related professionals","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","30-34 years","women",..,..,..,..,..,26200,..,..,26300,27900,29700,31700,31400,29700
"249 Psychologists, social work and related professionals","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","35-39 years","women",18600,20000,21000,21500,24000,25400,29600,25900,27600,26300,30300,30600,33600,33800
"249 Psychologists, social work and related professionals","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","40-44 years","women",20300,23100,24000,21700,23800,24000,27300,26200,27700,28200,29400,30800,32300,31600
"249 Psychologists, social work and related professionals","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","45-49 years","women",19200,20800,24800,25500,25200,25600,27300,28100,28400,29800,28000,30800,31700,33500
"249 Psychologists, social work and related professionals","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","50-54 years","women",20600,21400,22200,23100,24800,25300,26300,27200,28200,29200,31000,31600,32500,34700
"249 Psychologists, social work and related professionals","55-59 years","men",..,..,..,..,..,..,..,..,..,29200,..,..,..,..
"249 Psychologists, social work and related professionals","55-59 years","women",18800,23300,21300,22500,25600,26800,28100,25100,29000,30300,30200,30600,35100,35100
"249 Psychologists, social work and related professionals","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"249 Psychologists, social work and related professionals","60-64 years","women",19000,20200,21300,21400,23200,23900,27100,27900,29200,29600,31900,33000,32900,35000
"311 Physical and engineering science technicians","18-24 years","men",17800,18600,19300,20500,20000,20500,20900,21900,22400,23500,23700,24400,24900,26200
"311 Physical and engineering science technicians","18-24 years","women",17600,19200,19200,20100,18100,20100,20900,22200,22900,23400,23600,22400,23700,24700
"311 Physical and engineering science technicians","25-29 years","men",21200,22400,23300,23600,24000,24700,25600,26400,27600,27600,28300,29400,30200,29900
"311 Physical and engineering science technicians","25-29 years","women",20800,21900,22700,22900,23500,23800,24800,25600,26600,27300,27700,28100,29200,29000
"311 Physical and engineering science technicians","30-34 years","men",23900,24700,25900,26400,27300,27800,29000,29700,31000,31300,31500,32500,33800,34500
"311 Physical and engineering science technicians","30-34 years","women",22000,23600,24600,25200,25900,26900,27600,28200,29700,30600,30900,31800,32400,33100
"311 Physical and engineering science technicians","35-39 years","men",25100,26500,27100,27700,28300,29400,29800,31100,32500,33500,33600,35300,36700,37300
"311 Physical and engineering science technicians","35-39 years","women",22900,23600,24400,25200,25900,26300,27500,28100,30500,31300,32500,33100,34400,35400
"311 Physical and engineering science technicians","40-44 years","men",25000,26500,27200,28100,29400,30700,30800,31900,33900,34400,34900,36000,37400,38600
"311 Physical and engineering science technicians","40-44 years","women",21500,23400,24500,25100,26300,27100,28400,29700,31000,32200,32700,34000,35500,36200
"311 Physical and engineering science technicians","45-49 years","men",24800,25800,26600,27400,29100,30300,31200,32400,34100,34600,35800,37200,37500,38300
"311 Physical and engineering science technicians","45-49 years","women",21400,22800,23400,24100,25700,27000,27800,29200,31400,32200,33100,34300,34800,36000
"311 Physical and engineering science technicians","50-54 years","men",24500,25900,26900,27400,29300,30600,31400,32000,33700,34600,35400,38700,38200,38800
"311 Physical and engineering science technicians","50-54 years","women",20900,21300,22000,23400,24700,26200,27000,28300,31600,31000,32500,32500,36300,35800
"311 Physical and engineering science technicians","55-59 years","men",24500,25700,26400,27200,29100,29900,30700,32000,33400,34800,35400,36400,36900,39400
"311 Physical and engineering science technicians","55-59 years","women",20900,21000,21900,23100,24300,25700,26300,27300,28400,29100,30400,31600,32400,34500
"311 Physical and engineering science technicians","60-64 years","men",24600,25600,26300,26500,28900,29900,30800,32000,34300,34600,35500,36500,37600,38700
"311 Physical and engineering science technicians","60-64 years","women",20500,23800,28700,25700,23200,25000,26200,27600,27800,27500,27600,30300,31800,32300
"312 Computer associate professionals","18-24 years","men",18500,18700,18500,19500,18600,19200,18300,19500,19600,20000,21600,22500,22900,22200
"312 Computer associate professionals","18-24 years","women",17600,18800,18600,17200,17500,18000,17600,18200,18400,19200,21100,20400,21600,20700
"312 Computer associate professionals","25-29 years","men",21700,23200,23300,23900,23500,24200,24500,25800,25500,26300,26700,27000,27000,27300
"312 Computer associate professionals","25-29 years","women",19700,20500,20900,21100,22800,21800,23300,24200,24500,23800,24600,24700,25500,26400
"312 Computer associate professionals","30-34 years","men",23800,24900,26200,26800,27300,27600,28000,29900,30600,30400,31600,31800,32900,33200
"312 Computer associate professionals","30-34 years","women",20900,22800,23100,23300,24200,24500,25600,26400,27700,27500,28100,28100,29800,30100
"312 Computer associate professionals","35-39 years","men",26000,26800,27300,27700,29300,29100,33300,31200,32500,33900,34100,34900,35300,36500
"312 Computer associate professionals","35-39 years","women",21800,23900,23300,24600,25700,26000,28600,29400,30900,30300,30300,30800,31400,31900
"312 Computer associate professionals","40-44 years","men",26100,27400,28000,29500,29600,30900,31900,32400,33700,34600,35900,36500,38100,39200
"312 Computer associate professionals","40-44 years","women",23600,23800,23800,25300,26600,27500,27900,30000,30100,31400,31800,32300,33800,34500
"312 Computer associate professionals","45-49 years","men",27500,28000,28500,28700,30800,31200,34300,33600,34100,35800,36600,37500,38800,38800
"312 Computer associate professionals","45-49 years","women",23400,25000,24100,25300,25800,26600,28600,30100,30600,31500,33300,34000,36700,36000
"312 Computer associate professionals","50-54 years","men",27500,28100,28200,29700,30500,31800,33200,33300,35500,35900,36300,37100,38400,40100
"312 Computer associate professionals","50-54 years","women",23700,24500,25800,27100,26300,25800,30500,29900,28600,30000,32200,33800,32700,34700
"312 Computer associate professionals","55-59 years","men",27500,28700,28200,29600,31000,31100,33200,34500,34900,36600,36400,37400,38600,39900
"312 Computer associate professionals","55-59 years","women",23400,24100,24200,25600,26500,27500,28700,29600,29300,31300,32400,33500,33200,34200
"312 Computer associate professionals","60-64 years","men",28700,28000,27400,29100,30300,31000,32500,34200,35100,36100,35700,38900,38100,39700
"312 Computer associate professionals","60-64 years","women",..,..,..,..,..,..,28100,31300,28300,31900,34300,34800,32300,34800
"313 Optical and electronic equipment operators","18-24 years","men",..,..,..,..,..,..,..,..,..,..,21200,..,..,..
"313 Optical and electronic equipment operators","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"313 Optical and electronic equipment operators","25-29 years","men",19700,19200,18800,21500,21200,..,22000,25100,24700,24500,25100,26500,24300,26600
"313 Optical and electronic equipment operators","25-29 years","women",..,..,..,..,..,..,..,..,..,..,23800,..,..,27800
"313 Optical and electronic equipment operators","30-34 years","men",20500,21600,22200,22600,24000,25100,24300,25000,27600,25700,28600,31300,29500,25000
"313 Optical and electronic equipment operators","30-34 years","women",..,..,..,..,..,..,..,..,..,..,26200,..,..,..
"313 Optical and electronic equipment operators","35-39 years","men",21600,21100,28900,26200,24500,25500,28000,28000,27900,28200,29600,28600,26900,31900
"313 Optical and electronic equipment operators","35-39 years","women",..,..,..,..,..,..,..,..,..,..,29900,..,28500,29500
"313 Optical and electronic equipment operators","40-44 years","men",21400,25800,24500,35100,34500,31000,24500,27100,28500,27700,30000,28800,31900,31600
"313 Optical and electronic equipment operators","40-44 years","women",..,..,..,..,..,..,..,..,..,..,28700,..,..,30700
"313 Optical and electronic equipment operators","45-49 years","men",25100,28100,28200,25300,25800,25800,25800,27700,27900,28900,30000,28000,29300,33200
"313 Optical and electronic equipment operators","45-49 years","women",..,..,..,..,..,..,..,..,..,..,28000,..,..,31400
"313 Optical and electronic equipment operators","50-54 years","men",22400,20700,25600,24900,30200,23900,28100,27900,28800,29400,33400,33500,33100,..
"313 Optical and electronic equipment operators","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"313 Optical and electronic equipment operators","55-59 years","men",..,20900,23100,21500,25500,26000,27100,26300,29400,28700,30400,31100,30400,32100
"313 Optical and electronic equipment operators","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"313 Optical and electronic equipment operators","60-64 years","men",..,..,..,..,24200,30600,24600,25600,27000,30100,30800,29100,30400,29900
"313 Optical and electronic equipment operators","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","25-29 years","men",24500,24900,24000,24200,26500,30500,..,27300,..,..,29700,..,..,..
"314 Ship and aircraft controllers and technicians","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","30-34 years","men",29600,32700,31100,32000,35600,37100,36300,36300,34200,..,37700,38700,38800,..
"314 Ship and aircraft controllers and technicians","30-34 years","women",..,31500,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","35-39 years","men",43500,47500,47300,48900,47100,44600,39200,41300,41500,46800,44600,43400,47300,46600
"314 Ship and aircraft controllers and technicians","35-39 years","women",..,40600,43300,42600,44100,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","40-44 years","men",48600,47600,52200,62000,59000,53500,54800,56200,51800,54600,52200,..,..,53300
"314 Ship and aircraft controllers and technicians","40-44 years","women",..,..,..,..,..,..,..,54000,58800,61600,60700,..,..,..
"314 Ship and aircraft controllers and technicians","45-49 years","men",47900,47700,49300,59300,54600,58300,50800,58000,60700,..,62000,..,61700,58400
"314 Ship and aircraft controllers and technicians","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,72800,..
"314 Ship and aircraft controllers and technicians","50-54 years","men",51500,47700,50100,56800,56300,49100,58700,60400,58100,63700,58600,63400,..,60400
"314 Ship and aircraft controllers and technicians","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","55-59 years","men",46900,48300,49800,62200,55900,56100,55400,37700,54300,61100,57600,..,64400,58500
"314 Ship and aircraft controllers and technicians","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"314 Ship and aircraft controllers and technicians","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","18-24 years","men",16800,18900,..,..,..,..,..,..,..,..,..,..,24200,25500
"315 Safety and quality inspectors","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","25-29 years","men",19300,20300,21600,23000,21100,22600,24000,21400,24900,26300,25700,27700,27700,28100
"315 Safety and quality inspectors","25-29 years","women",20400,..,..,..,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","30-34 years","men",22600,23500,23400,25200,22300,23600,25000,24200,26200,27400,28100,30700,31100,31900
"315 Safety and quality inspectors","30-34 years","women",22100,24000,25500,28000,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","35-39 years","men",22600,23800,25400,26800,23700,24800,25000,26500,28300,29300,29200,30500,31500,34400
"315 Safety and quality inspectors","35-39 years","women",23100,25300,25100,24600,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","40-44 years","men",24700,25100,26500,27100,26100,26200,26500,28700,31100,30700,31100,33100,33700,34300
"315 Safety and quality inspectors","40-44 years","women",..,22600,24000,26500,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","45-49 years","men",25500,26100,27300,28300,27800,28200,28400,29600,31500,33000,32700,39200,35800,39100
"315 Safety and quality inspectors","45-49 years","women",..,..,..,25400,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","50-54 years","men",25500,26400,27100,27400,28300,29800,28300,29800,32500,34100,33600,33900,35300,40500
"315 Safety and quality inspectors","50-54 years","women",26100,27500,..,..,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","55-59 years","men",25300,26600,27300,27700,27800,28800,29600,30300,32700,33900,33700,35100,..,40900
"315 Safety and quality inspectors","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"315 Safety and quality inspectors","60-64 years","men",24900,25700,25300,28400,27500,28100,28200,28900,33600,35800,33000,36300,36500,39700
"315 Safety and quality inspectors","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","30-34 years","men",..,..,..,..,..,..,..,..,..,29500,..,..,..,..
"321 Agronomy and forestry technicians","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","35-39 years","men",..,..,..,..,..,..,..,..,28200,30800,32500,34000,..,..
"321 Agronomy and forestry technicians","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","40-44 years","men",..,..,..,..,..,27100,..,..,30700,..,..,33300,..,..
"321 Agronomy and forestry technicians","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","45-49 years","men",..,..,..,..,28100,27900,28400,29500,30000,31800,33800,35200,37200,..
"321 Agronomy and forestry technicians","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"321 Agronomy and forestry technicians","50-54 years","men",..,..,..,..,27800,27200,29400,30900,32000,32900,34600,37300,35900,34700
