"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"212 Mathematicians, actuaries and statisticians","50-54 years","women",..,..,..,..,..
"212 Mathematicians, actuaries and statisticians","55-59 years","men",..,..,..,..,..
"212 Mathematicians, actuaries and statisticians","55-59 years","women",..,..,..,..,..
"212 Mathematicians, actuaries and statisticians","60-64 years","men",..,..,..,..,..
"212 Mathematicians, actuaries and statisticians","60-64 years","women",..,..,..,..,..
"212 Mathematicians, actuaries and statisticians","65-66 years","men",..,..,..,..,..
"212 Mathematicians, actuaries and statisticians","65-66 years","women",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","18-24 years","men",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","18-24 years","women",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","25-29 years","men",30500,32700,..,..,32900
"213 Biologists, pharmacologists and specialists in agriculture and forestry","25-29 years","women",..,31400,..,..,31200
"213 Biologists, pharmacologists and specialists in agriculture and forestry","30-34 years","men",30900,33800,37200,36800,37600
"213 Biologists, pharmacologists and specialists in agriculture and forestry","30-34 years","women",35200,35200,37000,33600,34300
"213 Biologists, pharmacologists and specialists in agriculture and forestry","35-39 years","men",40000,40100,33800,37500,40400
"213 Biologists, pharmacologists and specialists in agriculture and forestry","35-39 years","women",36600,40600,39200,40300,42000
"213 Biologists, pharmacologists and specialists in agriculture and forestry","40-44 years","men",37200,43800,..,43000,40900
"213 Biologists, pharmacologists and specialists in agriculture and forestry","40-44 years","women",49100,43100,45900,45300,45800
"213 Biologists, pharmacologists and specialists in agriculture and forestry","45-49 years","men",39300,..,38300,40800,47300
"213 Biologists, pharmacologists and specialists in agriculture and forestry","45-49 years","women",39000,40600,44300,..,45500
"213 Biologists, pharmacologists and specialists in agriculture and forestry","50-54 years","men",42000,41100,41100,40700,40200
"213 Biologists, pharmacologists and specialists in agriculture and forestry","50-54 years","women",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","55-59 years","men",40800,40500,40900,42400,41100
"213 Biologists, pharmacologists and specialists in agriculture and forestry","55-59 years","women",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","60-64 years","men",36600,40000,41400,43100,44500
"213 Biologists, pharmacologists and specialists in agriculture and forestry","60-64 years","women",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","65-66 years","men",..,..,..,..,..
"213 Biologists, pharmacologists and specialists in agriculture and forestry","65-66 years","women",..,..,..,..,..
"214 Engineering professionals","18-24 years","men",28600,29400,27300,30300,30600
"214 Engineering professionals","18-24 years","women",26700,29200,29500,31000,30900
"214 Engineering professionals","25-29 years","men",32300,32800,32900,33500,34700
"214 Engineering professionals","25-29 years","women",31900,31800,32600,33400,34600
"214 Engineering professionals","30-34 years","men",38100,38600,38500,39100,39800
"214 Engineering professionals","30-34 years","women",37100,37200,37000,38200,39400
"214 Engineering professionals","35-39 years","men",42300,42800,42800,43800,46200
"214 Engineering professionals","35-39 years","women",41600,41400,41800,42800,43300
"214 Engineering professionals","40-44 years","men",44700,45800,46500,47400,48300
"214 Engineering professionals","40-44 years","women",44000,44700,45000,47300,46600
"214 Engineering professionals","45-49 years","men",47000,47000,48300,49700,50800
"214 Engineering professionals","45-49 years","women",44600,45400,45600,47500,49500
"214 Engineering professionals","50-54 years","men",48200,47300,48700,49800,51200
"214 Engineering professionals","50-54 years","women",45100,44300,47000,49600,50600
"214 Engineering professionals","55-59 years","men",48000,49300,50200,50700,52300
"214 Engineering professionals","55-59 years","women",45100,46300,46900,45000,50100
"214 Engineering professionals","60-64 years","men",48400,48800,49500,49600,51900
"214 Engineering professionals","60-64 years","women",44200,45500,46600,46800,49000
"214 Engineering professionals","65-66 years","men",47400,..,51500,46500,49400
"214 Engineering professionals","65-66 years","women",..,..,..,..,..
"216 Architects and surveyors","18-24 years","men",..,..,..,..,..
"216 Architects and surveyors","18-24 years","women",..,..,..,..,..
"216 Architects and surveyors","25-29 years","men",..,..,31200,32200,32400
"216 Architects and surveyors","25-29 years","women",..,30000,32100,32300,31300
"216 Architects and surveyors","30-34 years","men",33600,34500,35200,35500,36100
"216 Architects and surveyors","30-34 years","women",35600,33100,35200,37500,36300
"216 Architects and surveyors","35-39 years","men",..,37200,38500,37000,39900
"216 Architects and surveyors","35-39 years","women",37500,37100,40900,39300,40300
"216 Architects and surveyors","40-44 years","men",..,41200,45000,41500,40200
"216 Architects and surveyors","40-44 years","women",40300,40800,40700,41400,41600
"216 Architects and surveyors","45-49 years","men",..,..,45800,44400,41200
"216 Architects and surveyors","45-49 years","women",..,42300,43400,45300,45200
"216 Architects and surveyors","50-54 years","men",..,..,..,..,43200
"216 Architects and surveyors","50-54 years","women",..,..,..,..,..
"216 Architects and surveyors","55-59 years","men",..,..,..,..,..
"216 Architects and surveyors","55-59 years","women",..,..,..,..,..
"216 Architects and surveyors","60-64 years","men",..,..,..,..,..
"216 Architects and surveyors","60-64 years","women",..,..,..,..,..
"216 Architects and surveyors","65-66 years","men",..,..,..,..,..
"216 Architects and surveyors","65-66 years","women",..,..,..,..,..
"217 Designers","18-24 years","men",..,..,..,..,..
"217 Designers","18-24 years","women",..,..,..,..,..
"217 Designers","25-29 years","men",29400,32800,29400,31100,32700
"217 Designers","25-29 years","women",27900,27800,29100,31300,30600
"217 Designers","30-34 years","men",30600,33500,33000,35900,36100
"217 Designers","30-34 years","women",31900,31800,29600,33500,35500
"217 Designers","35-39 years","men",37100,34700,37500,37800,39000
"217 Designers","35-39 years","women",35400,37400,36400,38400,36300
"217 Designers","40-44 years","men",40400,40500,40300,47000,41100
"217 Designers","40-44 years","women",34200,39800,38900,41200,38800
"217 Designers","45-49 years","men",36300,40800,46600,45500,44500
"217 Designers","45-49 years","women",32900,34400,35900,37000,40300
"217 Designers","50-54 years","men",40500,41100,42600,41800,41100
"217 Designers","50-54 years","women",..,..,38200,40000,39100
"217 Designers","55-59 years","men",..,42100,44300,42800,39700
"217 Designers","55-59 years","women",..,..,..,33600,37200
"217 Designers","60-64 years","men",..,..,..,..,..
"217 Designers","60-64 years","women",..,..,..,..,..
"217 Designers","65-66 years","men",..,..,..,..,..
"217 Designers","65-66 years","women",..,..,..,..,..
"218 Specialists within environmental and health protection","18-24 years","men",..,..,..,..,..
"218 Specialists within environmental and health protection","18-24 years","women",..,..,..,..,..
"218 Specialists within environmental and health protection","25-29 years","men",..,..,..,..,..
"218 Specialists within environmental and health protection","25-29 years","women",..,..,..,..,..
"218 Specialists within environmental and health protection","30-34 years","men",..,..,..,..,..
"218 Specialists within environmental and health protection","30-34 years","women",..,36700,..,36600,39400
"218 Specialists within environmental and health protection","35-39 years","men",..,..,..,..,..
"218 Specialists within environmental and health protection","35-39 years","women",36800,39100,41600,41800,43300
"218 Specialists within environmental and health protection","40-44 years","men",..,40200,39800,46600,45900
"218 Specialists within environmental and health protection","40-44 years","women",38700,40900,39900,43000,46000
"218 Specialists within environmental and health protection","45-49 years","men",38600,41700,44800,45400,47000
"218 Specialists within environmental and health protection","45-49 years","women",..,42500,41100,46700,46400
"218 Specialists within environmental and health protection","50-54 years","men",43900,39800,39300,40600,42700
"218 Specialists within environmental and health protection","50-54 years","women",..,..,35200,45200,45800
"218 Specialists within environmental and health protection","55-59 years","men",41700,42600,44600,47300,48400
"218 Specialists within environmental and health protection","55-59 years","women",..,..,..,..,..
"218 Specialists within environmental and health protection","60-64 years","men",46300,42800,43100,44700,..
"218 Specialists within environmental and health protection","60-64 years","women",..,..,..,..,..
"218 Specialists within environmental and health protection","65-66 years","men",..,..,..,..,..
"218 Specialists within environmental and health protection","65-66 years","women",..,..,..,..,..
"221 Medical doctors","18-24 years","men",..,..,..,..,..
"221 Medical doctors","18-24 years","women",..,..,..,..,..
"221 Medical doctors","25-29 years","men",..,..,..,44200,..
"221 Medical doctors","25-29 years","women",..,37200,39700,39600,38200
"221 Medical doctors","30-34 years","men",..,51400,47300,..,48200
"221 Medical doctors","30-34 years","women",49100,46300,46500,..,47100
"221 Medical doctors","35-39 years","men",64600,..,54500,51700,..
"221 Medical doctors","35-39 years","women",58500,56900,55400,57100,61500
"221 Medical doctors","40-44 years","men",86200,78300,72400,..,70400
"221 Medical doctors","40-44 years","women",60400,60700,66000,65500,65100
"221 Medical doctors","45-49 years","men",91400,81800,81200,..,..
"221 Medical doctors","45-49 years","women",71700,..,..,72700,..
"221 Medical doctors","50-54 years","men",..,..,..,..,96800
"221 Medical doctors","50-54 years","women",..,85400,77600,78600,81300
"221 Medical doctors","55-59 years","men",..,..,..,74200,..
"221 Medical doctors","55-59 years","women",..,76600,80000,89500,68000
"221 Medical doctors","60-64 years","men",93800,84900,76200,..,..
"221 Medical doctors","60-64 years","women",..,..,..,60600,68400
"221 Medical doctors","65-66 years","men",..,..,..,..,..
"221 Medical doctors","65-66 years","women",..,..,..,..,..
"222 Nursing professionals","18-24 years","men",..,..,..,..,..
"222 Nursing professionals","18-24 years","women",29000,27800,30400,31000,..
"222 Nursing professionals","25-29 years","men",32000,31700,33900,..,36000
"222 Nursing professionals","25-29 years","women",30300,31400,34000,37400,40800
"222 Nursing professionals","30-34 years","men",34400,36000,36400,37900,42900
"222 Nursing professionals","30-34 years","women",32300,34200,35100,39600,40900
"222 Nursing professionals","35-39 years","men",33800,35000,36900,40800,47100
"222 Nursing professionals","35-39 years","women",34800,34700,36700,43400,43800
"222 Nursing professionals","40-44 years","men",36500,36200,38200,40700,48300
"222 Nursing professionals","40-44 years","women",35200,35800,36900,42300,46100
"222 Nursing professionals","45-49 years","men",40300,38400,38400,..,52400
"222 Nursing professionals","45-49 years","women",35900,36900,36700,41000,44500
"222 Nursing professionals","50-54 years","men",37200,36500,42800,49300,48100
"222 Nursing professionals","50-54 years","women",36400,38300,39300,41800,47500
"222 Nursing professionals","55-59 years","men",..,..,40900,44600,..
"222 Nursing professionals","55-59 years","women",36500,37800,39900,46700,47000
"222 Nursing professionals","60-64 years","men",..,..,..,..,..
"222 Nursing professionals","60-64 years","women",36200,37300,38900,41700,43800
"222 Nursing professionals","65-66 years","men",..,..,..,..,..
"222 Nursing professionals","65-66 years","women",35300,40100,40100,41300,50900
"223 Nursing professionals (cont.)","18-24 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","18-24 years","women",..,..,..,..,..
"223 Nursing professionals (cont.)","25-29 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","25-29 years","women",..,..,..,..,..
"223 Nursing professionals (cont.)","30-34 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","30-34 years","women",30800,31600,33700,35000,35000
"223 Nursing professionals (cont.)","35-39 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","35-39 years","women",32100,34400,32700,35700,41000
"223 Nursing professionals (cont.)","40-44 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","40-44 years","women",32900,35800,35300,37800,39000
"223 Nursing professionals (cont.)","45-49 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","45-49 years","women",33400,35400,36700,37100,39000
"223 Nursing professionals (cont.)","50-54 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","50-54 years","women",34100,34700,34500,36400,38900
"223 Nursing professionals (cont.)","55-59 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","55-59 years","women",35000,35900,36400,38000,40000
"223 Nursing professionals (cont.)","60-64 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","60-64 years","women",34000,35900,36800,35300,40300
"223 Nursing professionals (cont.)","65-66 years","men",..,..,..,..,..
"223 Nursing professionals (cont.)","65-66 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","18-24 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","18-24 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","25-29 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","25-29 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","30-34 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","30-34 years","women",..,..,..,37600,39100
"224 Psychologists and psychotherapists","35-39 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","35-39 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","40-44 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","40-44 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","45-49 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","45-49 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","50-54 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","50-54 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","55-59 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","55-59 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","60-64 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","60-64 years","women",..,..,..,..,..
"224 Psychologists and psychotherapists","65-66 years","men",..,..,..,..,..
"224 Psychologists and psychotherapists","65-66 years","women",..,..,..,..,..
"225 Veterinarians","18-24 years","men",..,..,..,..,..
"225 Veterinarians","18-24 years","women",..,..,..,..,..
"225 Veterinarians","25-29 years","men",..,..,..,..,..
"225 Veterinarians","25-29 years","women",..,..,35200,38400,36500
"225 Veterinarians","30-34 years","men",..,..,..,..,..
"225 Veterinarians","30-34 years","women",36500,35000,36200,41300,39900
"225 Veterinarians","35-39 years","men",..,..,..,..,..
"225 Veterinarians","35-39 years","women",40800,38200,41300,42100,43000
"225 Veterinarians","40-44 years","men",..,..,..,..,..
"225 Veterinarians","40-44 years","women",..,..,40700,42700,38900
"225 Veterinarians","45-49 years","men",..,..,..,..,..
"225 Veterinarians","45-49 years","women",..,..,..,..,..
"225 Veterinarians","50-54 years","men",..,..,..,..,..
"225 Veterinarians","50-54 years","women",..,..,..,..,..
"225 Veterinarians","55-59 years","men",..,..,..,..,..
"225 Veterinarians","55-59 years","women",..,..,..,..,..
"225 Veterinarians","60-64 years","men",..,..,..,..,..
"225 Veterinarians","60-64 years","women",..,..,..,..,..
"225 Veterinarians","65-66 years","men",..,..,..,..,..
"225 Veterinarians","65-66 years","women",..,..,..,..,..
"226 Dentists","18-24 years","men",..,..,..,..,..
"226 Dentists","18-24 years","women",..,..,..,..,..
"226 Dentists","25-29 years","men",..,..,..,..,..
"226 Dentists","25-29 years","women",33400,33500,34400,34300,35100
"226 Dentists","30-34 years","men",..,..,..,..,..
"226 Dentists","30-34 years","women",37500,37100,38100,37800,39700
"226 Dentists","35-39 years","men",..,..,..,..,..
"226 Dentists","35-39 years","women",..,42700,..,42900,..
"226 Dentists","40-44 years","men",..,..,..,..,..
"226 Dentists","40-44 years","women",47800,43300,45700,..,49100
"226 Dentists","45-49 years","men",..,..,..,..,..
"226 Dentists","45-49 years","women",..,..,..,..,..
"226 Dentists","50-54 years","men",..,..,..,..,..
"226 Dentists","50-54 years","women",..,..,..,..,..
"226 Dentists","55-59 years","men",..,..,..,..,..
"226 Dentists","55-59 years","women",45900,49900,..,..,..
"226 Dentists","60-64 years","men",..,..,..,..,..
"226 Dentists","60-64 years","women",..,43200,54700,52400,55800
"226 Dentists","65-66 years","men",..,..,..,..,..
"226 Dentists","65-66 years","women",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","18-24 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","18-24 years","women",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","25-29 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","25-29 years","women",30200,26900,27500,28000,29600
"227 Naprapaths, physiotherapists, occupational therapists","30-34 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","30-34 years","women",28700,27900,28800,30300,33500
"227 Naprapaths, physiotherapists, occupational therapists","35-39 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","35-39 years","women",29400,29600,31300,31400,31900
"227 Naprapaths, physiotherapists, occupational therapists","40-44 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","40-44 years","women",31100,30900,32000,32000,34700
"227 Naprapaths, physiotherapists, occupational therapists","45-49 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","45-49 years","women",32900,31300,31500,33000,34600
"227 Naprapaths, physiotherapists, occupational therapists","50-54 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","50-54 years","women",28500,31100,32700,32500,33600
"227 Naprapaths, physiotherapists, occupational therapists","55-59 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","55-59 years","women",31500,31300,29100,34500,31700
"227 Naprapaths, physiotherapists, occupational therapists","60-64 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","60-64 years","women",31900,33000,33900,34800,36500
"227 Naprapaths, physiotherapists, occupational therapists","65-66 years","men",..,..,..,..,..
"227 Naprapaths, physiotherapists, occupational therapists","65-66 years","women",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","18-24 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","18-24 years","women",..,..,..,32100,32200
"228 Specialists in health care not elsewhere classified","25-29 years","men",..,..,..,37000,37400
"228 Specialists in health care not elsewhere classified","25-29 years","women",30400,31300,31700,33300,34200
"228 Specialists in health care not elsewhere classified","30-34 years","men",..,..,..,37200,37400
"228 Specialists in health care not elsewhere classified","30-34 years","women",34800,28700,33000,33100,35500
"228 Specialists in health care not elsewhere classified","35-39 years","men",..,..,..,..,39000
"228 Specialists in health care not elsewhere classified","35-39 years","women",34800,35300,34500,35300,36500
"228 Specialists in health care not elsewhere classified","40-44 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","40-44 years","women",33200,33700,34900,35800,37500
"228 Specialists in health care not elsewhere classified","45-49 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","45-49 years","women",34000,39400,35000,38100,37600
"228 Specialists in health care not elsewhere classified","50-54 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","50-54 years","women",35400,35400,35200,35700,37900
"228 Specialists in health care not elsewhere classified","55-59 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","55-59 years","women",36800,40100,37500,38300,40200
"228 Specialists in health care not elsewhere classified","60-64 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","60-64 years","women",36300,36800,37500,39700,40500
"228 Specialists in health care not elsewhere classified","65-66 years","men",..,..,..,..,..
"228 Specialists in health care not elsewhere classified","65-66 years","women",..,..,..,..,..
"231 University and higher education teachers","18-24 years","men",..,..,..,..,..
"231 University and higher education teachers","18-24 years","women",..,..,..,21900,..
"231 University and higher education teachers","25-29 years","men",28100,28900,29800,30300,30800
"231 University and higher education teachers","25-29 years","women",28100,28300,28500,28900,30400
"231 University and higher education teachers","30-34 years","men",34200,34000,34400,35100,36200
"231 University and higher education teachers","30-34 years","women",31500,31000,33000,33800,34700
"231 University and higher education teachers","35-39 years","men",42300,42200,41800,44300,44400
"231 University and higher education teachers","35-39 years","women",38000,37600,39600,40100,41400
"231 University and higher education teachers","40-44 years","men",48200,47300,48100,50000,51500
"231 University and higher education teachers","40-44 years","women",..,..,..,..,..
"231 University and higher education teachers","45-49 years","men",53300,53200,53100,53200,53200
"231 University and higher education teachers","45-49 years","women",..,..,..,..,..
"231 University and higher education teachers","50-54 years","men",56600,56400,57800,59200,59100
"231 University and higher education teachers","50-54 years","women",..,..,..,..,..
"231 University and higher education teachers","55-59 years","men",56600,56900,58200,58900,61600
"231 University and higher education teachers","55-59 years","women",..,..,..,..,..
"231 University and higher education teachers","60-64 years","men",55700,56600,58300,60500,..
"231 University and higher education teachers","60-64 years","women",..,..,..,..,..
"231 University and higher education teachers","65-66 years","men",..,..,..,..,..
"231 University and higher education teachers","65-66 years","women",..,..,..,..,..
"232 Vocational education teachers","18-24 years","men",..,..,..,..,..
"232 Vocational education teachers","18-24 years","women",..,..,..,..,..
"232 Vocational education teachers","25-29 years","men",..,..,..,..,..
"232 Vocational education teachers","25-29 years","women",..,..,..,..,..
"232 Vocational education teachers","30-34 years","men",..,..,..,..,..
"232 Vocational education teachers","30-34 years","women",..,..,..,..,..
"232 Vocational education teachers","35-39 years","men",..,..,..,..,..
"232 Vocational education teachers","35-39 years","women",..,..,..,..,..
"232 Vocational education teachers","40-44 years","men",..,..,..,..,..
"232 Vocational education teachers","40-44 years","women",..,..,..,..,..
"232 Vocational education teachers","45-49 years","men",..,..,..,..,..
"232 Vocational education teachers","45-49 years","women",..,..,..,..,..
"232 Vocational education teachers","50-54 years","men",..,..,..,31600,33800
"232 Vocational education teachers","50-54 years","women",..,..,..,..,..
"232 Vocational education teachers","55-59 years","men",..,..,..,..,..
"232 Vocational education teachers","55-59 years","women",..,..,..,..,..
"232 Vocational education teachers","60-64 years","men",..,..,..,..,..
"232 Vocational education teachers","60-64 years","women",..,..,..,..,..
"232 Vocational education teachers","65-66 years","men",..,..,..,..,..
"232 Vocational education teachers","65-66 years","women",..,..,..,..,..
"233 Secondary education teachers","18-24 years","men",..,..,..,..,..
"233 Secondary education teachers","18-24 years","women",..,..,..,..,..
"233 Secondary education teachers","25-29 years","men",..,..,..,..,..
"233 Secondary education teachers","25-29 years","women",..,..,..,..,..
"233 Secondary education teachers","30-34 years","men",28700,..,..,..,..
"233 Secondary education teachers","30-34 years","women",29400,29900,..,..,..
"233 Secondary education teachers","35-39 years","men",..,..,..,..,..
"233 Secondary education teachers","35-39 years","women",30400,30100,33100,..,..
"233 Secondary education teachers","40-44 years","men",..,..,..,..,..
"233 Secondary education teachers","40-44 years","women",30100,..,..,..,..
"233 Secondary education teachers","45-49 years","men",..,..,..,..,..
"233 Secondary education teachers","45-49 years","women",..,..,..,..,..
"233 Secondary education teachers","50-54 years","men",..,..,..,..,..
"233 Secondary education teachers","50-54 years","women",..,..,..,..,..
"233 Secondary education teachers","55-59 years","men",..,..,..,..,..
"233 Secondary education teachers","55-59 years","women",..,..,..,..,..
"233 Secondary education teachers","60-64 years","men",..,..,..,..,..
"233 Secondary education teachers","60-64 years","women",..,..,..,..,..
"233 Secondary education teachers","65-66 years","men",..,..,..,..,..
"233 Secondary education teachers","65-66 years","women",..,..,..,..,..
"234 Primary- and pre-school teachers ","18-24 years","men",22500,22000,22900,24100,25000
"234 Primary- and pre-school teachers ","18-24 years","women",23500,24100,24600,24900,25100
"234 Primary- and pre-school teachers ","25-29 years","men",26100,26500,26800,27500,28500
"234 Primary- and pre-school teachers ","25-29 years","women",26200,27000,28100,29300,29700
"234 Primary- and pre-school teachers ","30-34 years","men",27900,28600,30100,30800,31600
"234 Primary- and pre-school teachers ","30-34 years","women",26300,28500,29400,29900,31400
"234 Primary- and pre-school teachers ","35-39 years","men",28100,29800,30400,31800,33500
"234 Primary- and pre-school teachers ","35-39 years","women",27600,28700,30400,30800,31500
"234 Primary- and pre-school teachers ","40-44 years","men",29800,31300,32100,33900,34200
"234 Primary- and pre-school teachers ","40-44 years","women",28200,29900,30800,31700,33700
"234 Primary- and pre-school teachers ","45-49 years","men",30000,30700,31700,33200,34300
"234 Primary- and pre-school teachers ","45-49 years","women",28200,29700,30500,32300,33600
"234 Primary- and pre-school teachers ","50-54 years","men",28700,29300,30900,32900,32200
"234 Primary- and pre-school teachers ","50-54 years","women",28300,30200,30900,32200,33700
"234 Primary- and pre-school teachers ","55-59 years","men",29200,30000,31300,33900,35200
"234 Primary- and pre-school teachers ","55-59 years","women",28700,29800,30800,32600,34600
"234 Primary- and pre-school teachers ","60-64 years","men",..,..,31200,32300,34300
"234 Primary- and pre-school teachers ","60-64 years","women",28700,30100,30900,31000,32800
"234 Primary- and pre-school teachers ","65-66 years","men",..,..,..,..,..
"234 Primary- and pre-school teachers ","65-66 years","women",..,..,..,..,..
"235 Teaching professionals not elsewhere classified","18-24 years","men",..,24800,..,..,..
"235 Teaching professionals not elsewhere classified","18-24 years","women",..,24600,..,..,..
"235 Teaching professionals not elsewhere classified","25-29 years","men",..,..,..,..,..
"235 Teaching professionals not elsewhere classified","25-29 years","women",27600,..,27200,27800,..
"235 Teaching professionals not elsewhere classified","30-34 years","men",..,..,..,..,..
"235 Teaching professionals not elsewhere classified","30-34 years","women",27100,30400,28200,32400,29200
"235 Teaching professionals not elsewhere classified","35-39 years","men",..,..,31200,33600,..
"235 Teaching professionals not elsewhere classified","35-39 years","women",30600,29400,29500,31800,29900
"235 Teaching professionals not elsewhere classified","40-44 years","men",..,..,..,..,..
"235 Teaching professionals not elsewhere classified","40-44 years","women",30400,30500,30200,33400,34500
"235 Teaching professionals not elsewhere classified","45-49 years","men",..,..,34600,33700,..
"235 Teaching professionals not elsewhere classified","45-49 years","women",34200,36400,33400,32800,34400
"235 Teaching professionals not elsewhere classified","50-54 years","men",..,..,..,32000,..
"235 Teaching professionals not elsewhere classified","50-54 years","women",33800,33000,32000,35300,35400
"235 Teaching professionals not elsewhere classified","55-59 years","men",..,..,33000,33500,..
"235 Teaching professionals not elsewhere classified","55-59 years","women",..,35200,33000,36500,32900
"235 Teaching professionals not elsewhere classified","60-64 years","men",..,..,..,32600,..
"235 Teaching professionals not elsewhere classified","60-64 years","women",32100,31300,32200,33200,33000
"235 Teaching professionals not elsewhere classified","65-66 years","men",..,..,..,..,..
"235 Teaching professionals not elsewhere classified","65-66 years","women",..,..,..,..,..
"241 Accountants, financial analysts and fund managers","18-24 years","men",27400,26400,28500,29900,31500
"241 Accountants, financial analysts and fund managers","18-24 years","women",25200,26400,25800,27500,28100
"241 Accountants, financial analysts and fund managers","25-29 years","men",33500,35100,36200,37300,38200
"241 Accountants, financial analysts and fund managers","25-29 years","women",31400,31600,32600,33800,34200
"241 Accountants, financial analysts and fund managers","30-34 years","men",45700,48600,47900,48800,49800
"241 Accountants, financial analysts and fund managers","30-34 years","women",37700,39100,40700,41100,41600
"241 Accountants, financial analysts and fund managers","35-39 years","men",52500,53000,53900,57600,56600
"241 Accountants, financial analysts and fund managers","35-39 years","women",43300,42800,43000,45300,45300
"241 Accountants, financial analysts and fund managers","40-44 years","men",61000,66700,60900,67700,64000
"241 Accountants, financial analysts and fund managers","40-44 years","women",44000,43800,43800,48200,47900
"241 Accountants, financial analysts and fund managers","45-49 years","men",56700,59500,62900,..,65300
"241 Accountants, financial analysts and fund managers","45-49 years","women",45800,46900,48600,49800,50500
"241 Accountants, financial analysts and fund managers","50-54 years","men",58100,56700,57100,61100,..
"241 Accountants, financial analysts and fund managers","50-54 years","women",44800,45200,49400,50700,48600
"241 Accountants, financial analysts and fund managers","55-59 years","men",60700,59400,56900,55700,59200
"241 Accountants, financial analysts and fund managers","55-59 years","women",41900,45500,45000,47500,50200
"241 Accountants, financial analysts and fund managers","60-64 years","men",42800,46400,..,..,53700
"241 Accountants, financial analysts and fund managers","60-64 years","women",39600,44100,42900,..,45300
"241 Accountants, financial analysts and fund managers","65-66 years","men",..,..,..,..,..
"241 Accountants, financial analysts and fund managers","65-66 years","women",..,..,..,..,..
"242 Organisation analysts, policy administrators and human resource specialists","18-24 years","men",..,27300,28300,26800,30100
"242 Organisation analysts, policy administrators and human resource specialists","18-24 years","women",27400,26800,26100,26900,27900
"242 Organisation analysts, policy administrators and human resource specialists","25-29 years","men",35600,33800,36500,39300,39600
"242 Organisation analysts, policy administrators and human resource specialists","25-29 years","women",31300,31500,33300,33000,35600
"242 Organisation analysts, policy administrators and human resource specialists","30-34 years","men",43400,42600,44100,43000,45800
"242 Organisation analysts, policy administrators and human resource specialists","30-34 years","women",38700,38400,38600,38100,40400
"242 Organisation analysts, policy administrators and human resource specialists","35-39 years","men",49000,46500,45800,48900,55500
"242 Organisation analysts, policy administrators and human resource specialists","35-39 years","women",40800,40800,41900,43900,45100
