"region","occupation (SSYK 2012)","sector","sex","2014","2015","2016","2017"
"21 Gävleborg county","214 Engineering professionals","other corporations not controlled by the government sector","women",1,0,0,0
"21 Gävleborg county","214 Engineering professionals","central government corporations and organisations","men",44,29,14,17
"21 Gävleborg county","214 Engineering professionals","central government corporations and organisations","women",15,11,2,6
"21 Gävleborg county","214 Engineering professionals","local government corporations and organisations","men",10,10,9,13
"21 Gävleborg county","214 Engineering professionals","local government corporations and organisations","women",3,1,4,6
"21 Gävleborg county","214 Engineering professionals","other organisations","men",7,6,3,5
"21 Gävleborg county","214 Engineering professionals","other organisations","women",2,1,5,3
"21 Gävleborg county","214 Engineering professionals","information missing","men",0,0,0,0
"21 Gävleborg county","214 Engineering professionals","information missing","women",0,0,0,0
"22 Västernorrland county","214 Engineering professionals","central government","men",22,23,25,29
"22 Västernorrland county","214 Engineering professionals","central government","women",4,4,7,7
"22 Västernorrland county","214 Engineering professionals","central government quasi-corporations","men",13,15,21,21
"22 Västernorrland county","214 Engineering professionals","central government quasi-corporations","women",1,2,3,4
"22 Västernorrland county","214 Engineering professionals","primary local government","men",0,3,3,2
"22 Västernorrland county","214 Engineering professionals","primary local government","women",1,1,1,0
"22 Västernorrland county","214 Engineering professionals","county councils","men",0,1,1,1
"22 Västernorrland county","214 Engineering professionals","county councils","women",0,0,1,0
"22 Västernorrland county","214 Engineering professionals","other public institutions","men",0,0,0,0
"22 Västernorrland county","214 Engineering professionals","other public institutions","women",0,0,0,0
"22 Västernorrland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1244,1232,1272,1206
"22 Västernorrland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",268,256,288,283
"22 Västernorrland county","214 Engineering professionals","other corporations not controlled by the government sector","men",4,3,4,4
"22 Västernorrland county","214 Engineering professionals","other corporations not controlled by the government sector","women",0,1,0,0
"22 Västernorrland county","214 Engineering professionals","central government corporations and organisations","men",42,49,36,42
"22 Västernorrland county","214 Engineering professionals","central government corporations and organisations","women",7,10,13,14
"22 Västernorrland county","214 Engineering professionals","local government corporations and organisations","men",30,34,34,34
"22 Västernorrland county","214 Engineering professionals","local government corporations and organisations","women",19,19,15,19
"22 Västernorrland county","214 Engineering professionals","other organisations","men",3,2,2,3
"22 Västernorrland county","214 Engineering professionals","other organisations","women",0,0,0,1
"22 Västernorrland county","214 Engineering professionals","information missing","men",0,0,0,0
"22 Västernorrland county","214 Engineering professionals","information missing","women",0,0,0,0
"23 Jämtland county","214 Engineering professionals","central government","men",49,48,48,55
"23 Jämtland county","214 Engineering professionals","central government","women",8,9,7,4
"23 Jämtland county","214 Engineering professionals","central government quasi-corporations","men",0,0,0,0
"23 Jämtland county","214 Engineering professionals","central government quasi-corporations","women",0,0,0,0
"23 Jämtland county","214 Engineering professionals","primary local government","men",1,4,0,0
"23 Jämtland county","214 Engineering professionals","primary local government","women",0,0,0,0
"23 Jämtland county","214 Engineering professionals","county councils","men",0,0,0,0
"23 Jämtland county","214 Engineering professionals","county councils","women",1,0,0,0
"23 Jämtland county","214 Engineering professionals","other public institutions","men",0,0,0,0
"23 Jämtland county","214 Engineering professionals","other public institutions","women",0,0,0,0
"23 Jämtland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",221,224,232,256
"23 Jämtland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",44,42,47,51
"23 Jämtland county","214 Engineering professionals","other corporations not controlled by the government sector","men",2,3,1,0
"23 Jämtland county","214 Engineering professionals","other corporations not controlled by the government sector","women",0,0,0,0
"23 Jämtland county","214 Engineering professionals","central government corporations and organisations","men",7,6,8,9
"23 Jämtland county","214 Engineering professionals","central government corporations and organisations","women",1,3,0,0
"23 Jämtland county","214 Engineering professionals","local government corporations and organisations","men",7,7,10,9
"23 Jämtland county","214 Engineering professionals","local government corporations and organisations","women",1,1,1,1
"23 Jämtland county","214 Engineering professionals","other organisations","men",11,8,6,6
"23 Jämtland county","214 Engineering professionals","other organisations","women",1,1,1,1
"23 Jämtland county","214 Engineering professionals","information missing","men",0,0,0,0
"23 Jämtland county","214 Engineering professionals","information missing","women",0,0,0,0
"24 Västerbotten county","214 Engineering professionals","central government","men",34,40,34,34
"24 Västerbotten county","214 Engineering professionals","central government","women",7,11,9,10
"24 Västerbotten county","214 Engineering professionals","central government quasi-corporations","men",0,1,1,1
"24 Västerbotten county","214 Engineering professionals","central government quasi-corporations","women",0,0,0,0
"24 Västerbotten county","214 Engineering professionals","primary local government","men",0,1,0,0
"24 Västerbotten county","214 Engineering professionals","primary local government","women",1,5,0,1
"24 Västerbotten county","214 Engineering professionals","county councils","men",0,1,1,0
"24 Västerbotten county","214 Engineering professionals","county councils","women",0,0,0,0
"24 Västerbotten county","214 Engineering professionals","other public institutions","men",0,0,0,0
"24 Västerbotten county","214 Engineering professionals","other public institutions","women",0,0,0,0
"24 Västerbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",915,942,982,1019
"24 Västerbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",204,213,250,275
"24 Västerbotten county","214 Engineering professionals","other corporations not controlled by the government sector","men",5,6,7,9
"24 Västerbotten county","214 Engineering professionals","other corporations not controlled by the government sector","women",1,2,3,3
"24 Västerbotten county","214 Engineering professionals","central government corporations and organisations","men",55,61,59,51
"24 Västerbotten county","214 Engineering professionals","central government corporations and organisations","women",14,14,12,9
"24 Västerbotten county","214 Engineering professionals","local government corporations and organisations","men",70,67,64,68
"24 Västerbotten county","214 Engineering professionals","local government corporations and organisations","women",20,15,14,15
"24 Västerbotten county","214 Engineering professionals","other organisations","men",12,13,19,13
"24 Västerbotten county","214 Engineering professionals","other organisations","women",4,4,5,5
"24 Västerbotten county","214 Engineering professionals","information missing","men",0,0,0,0
"24 Västerbotten county","214 Engineering professionals","information missing","women",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","central government","men",106,108,123,161
"25 Norrbotten county","214 Engineering professionals","central government","women",31,31,39,42
"25 Norrbotten county","214 Engineering professionals","central government quasi-corporations","men",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","central government quasi-corporations","women",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","primary local government","men",0,3,2,1
"25 Norrbotten county","214 Engineering professionals","primary local government","women",0,3,0,0
"25 Norrbotten county","214 Engineering professionals","county councils","men",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","county councils","women",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","other public institutions","men",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","other public institutions","women",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",924,934,1087,1092
"25 Norrbotten county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",190,196,241,250
"25 Norrbotten county","214 Engineering professionals","other corporations not controlled by the government sector","men",5,7,6,8
"25 Norrbotten county","214 Engineering professionals","other corporations not controlled by the government sector","women",1,0,0,4
"25 Norrbotten county","214 Engineering professionals","central government corporations and organisations","men",422,400,297,255
"25 Norrbotten county","214 Engineering professionals","central government corporations and organisations","women",126,122,116,101
"25 Norrbotten county","214 Engineering professionals","local government corporations and organisations","men",27,15,17,23
"25 Norrbotten county","214 Engineering professionals","local government corporations and organisations","women",11,6,6,7
"25 Norrbotten county","214 Engineering professionals","other organisations","men",3,2,2,3
"25 Norrbotten county","214 Engineering professionals","other organisations","women",2,1,0,1
"25 Norrbotten county","214 Engineering professionals","information missing","men",0,0,0,0
"25 Norrbotten county","214 Engineering professionals","information missing","women",0,0,0,0
"99 County unknown","214 Engineering professionals","central government","men",5,7,3,4
"99 County unknown","214 Engineering professionals","central government","women",2,0,0,0
"99 County unknown","214 Engineering professionals","central government quasi-corporations","men",0,0,0,0
"99 County unknown","214 Engineering professionals","central government quasi-corporations","women",0,0,0,0
"99 County unknown","214 Engineering professionals","primary local government","men",0,0,0,0
"99 County unknown","214 Engineering professionals","primary local government","women",0,0,0,0
"99 County unknown","214 Engineering professionals","county councils","men",0,0,0,0
"99 County unknown","214 Engineering professionals","county councils","women",0,0,0,0
"99 County unknown","214 Engineering professionals","other public institutions","men",0,0,1,0
"99 County unknown","214 Engineering professionals","other public institutions","women",0,0,0,0
"99 County unknown","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",24,27,20,12
"99 County unknown","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",4,7,5,2
"99 County unknown","214 Engineering professionals","other corporations not controlled by the government sector","men",0,0,0,0
"99 County unknown","214 Engineering professionals","other corporations not controlled by the government sector","women",0,0,0,0
"99 County unknown","214 Engineering professionals","central government corporations and organisations","men",0,0,0,0
"99 County unknown","214 Engineering professionals","central government corporations and organisations","women",0,0,0,0
"99 County unknown","214 Engineering professionals","local government corporations and organisations","men",0,0,0,0
"99 County unknown","214 Engineering professionals","local government corporations and organisations","women",0,0,0,0
"99 County unknown","214 Engineering professionals","other organisations","men",0,1,1,0
"99 County unknown","214 Engineering professionals","other organisations","women",0,0,0,0
"99 County unknown","214 Engineering professionals","information missing","men",0,0,0,0
"99 County unknown","214 Engineering professionals","information missing","women",0,0,0,0
